"","MyNumber","Collections","ID","sciname","Label","Station","Notes","Muscle","Otolith","Lat_dec.x","Long_dec.x","Year.x","Min.Depth","Max.Depth","Salinity","SST","Weight.x","Weight_SD","Sex","Year.y","Lat_dec.y","Long_dec.y","Min_Depth","Max_Depth","Temp","DIC","Suess","Depth_Mid","D18O_vals","Province","Phyto","Phyto_sd","d13C","d18O","d13C_musc","d13C_musc_SD","Genus","Species","FamCode","BodyShapeI","Compressed","AspectRatio","DepthOverTL","DemersPelag","AnaCat","DepthRangeShallow","DepthRangeDeep","LongevityWild","Length","LTypeMaxM","Weight.y","Family","Order","Neritic","Oceanic","Estuaries","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","UseTroph","UseTrophSe","Schooling","Shoaling","Temperature","mean_Temp","sd_Temp","mean_M","sd_M"
"11","BAS_52","BAS","#114","Electrona antarctica","ELN","JR15004/91/1",NA,1,"Y",-60.2326,-46.1921,2016,NA,NA,NA,NA,5.3,0,"M",2016,-60.23,-46.19,700,1000,NA,1.8,-0.08,850,-0.120896734,"APLR",-30,0.5,-4.6,3.8,-27.38799205,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",0.548865233143878,1.72808707941332,0.204685487842008,0.0107900290607311
"12","BAS_59","BAS","57","Electrona antarctica","ELN","JR16003/39/1","RAS",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,6.1,0,"F",2016,-53.5,-39.25,19,202,NA,1.9,-0.1,110.5,-0.372505248,"ANTA",-29,1,-5.37,3.69,-27.12543738,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",0.0572371636008992,1.69405471871284,0.235187328130744,0.0117226755822951
"13","BAS_60","BAS","6","Electrona antarctica","ELN","JR16003/113/1","RYAN",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,1.8,0,"M",2017,-55.29,-41.35,196.7,398,2.06,1.85,-0.09,297.35,-0.055642206,"ANTA",-29,1,-5.66,3.71,-27.20201199,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",1.08140039236318,1.69795878083396,0.243586088448972,0.0117069905480292
"14","BAS_61","BAS","55","Electrona antarctica","ELN","JR16003/39/2","RAS",NA,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,6.8,5.9,"F",2016,-53.53,-39.25,15,209,NA,1.9,-0.1,112,-0.225334823,"ANTA",-29,1,-4.17,4.09,-27.15607574,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",-0.805611780987047,1.69966178357279,0.194620881127559,0.0107802958532613
"15","BAS_62","BAS","8","Electrona antarctica","ELN","JR16003/129/2","RYAN",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,6.2,0,"M",2017,-54.66,-45.2,82,208,0,1.85,-0.1,145,-0.371859103,"SANT",-24,2,-4.11,3.78,-27.10812562,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",-0.214363170659732,1.71146575879113,0.191342913909156,0.0107143450717113
"16","BAS_65","BAS","11","Electrona antarctica","ELN","JR16003/113/1","RYAN",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,1.3,0,"M",2017,-55.29,-41.35,196.7,398,2.06,1.85,-0.09,297.35,-0.055642206,"ANTA",-29,1,-3.76,3.81,-27.55444794,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",0.725638047302094,1.70379121078066,0.176537596749989,0.0104176852722357
"17","BAS_67","BAS","4","Electrona antarctica","ELN","JR16003/113/2","RYAN",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,3.3,0,"M",2017,-55.3,-41.36,27.7,210.6,0.6,1.85,-0.1,119.15,-0.372243345,"ANTA",-29,1,-4.81,3.89,-26.43534262,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",-0.608633834953834,1.6977839257233,0.219846408664624,0.0116653931754447
"18","BAS_69","BAS","3","Electrona antarctica","ELN","JR16003/146/2","RYAN",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,6,0,"M",2017,-53.95,-49.19,398.3,707.9,2.74,1.9,-0.1,553.1,-0.021559155,"SANT",-24,2,-5.24,4.08,-27.04466551,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",-0.112477889480737,1.7035321837216,0.231386153231895,0.01156738590665
"19","BAS_71","BAS","2","Electrona antarctica","ELN","JR16003/112/2","RYAN",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,7.7,0,"F",2016,-55.26,-41.2,NA,NA,NA,1.85,-0.09,NA,-0.372243345,"ANTA",-29,1,-5.22,3.73,-27.37165135,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",-0.0481802735096074,1.69849284611284,0.227033379678324,0.0114521717737885
"20","BAS_72","BAS","5","Electrona antarctica","ELN","JR16003/129/2","RYAN",1,"Y",-54.99,-49.105,2016,NA,NA,NA,NA,6.1,0,"F",2017,-54.66,-45.2,82,208,0,1.85,-0.1,145,-0.371859103,"SANT",-24,2,-4.52,3.64,-26.87940392,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",0.242513758354841,1.72033800637448,0.20696419995306,0.0110181319018309
"21","BAS_73","BAS","158","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",-50.55,-34.05,2008,NA,NA,NA,NA,4.8,0,"M",2008,-50.55,-34.05,3.8,206.8,NA,1.95,-0.1,105.3,-0.366572708,"SANT",-24,2,-3.11,2.92,-24.27,0,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",2.72524543387648,1.70621079342346,0.180525068590606,0.0107201326482817
"22","BAS_74","BAS","201","Electrona carlsbergi","ELC","JR38/185/1",NA,NA,"Y",-55.23,-36.15,1998,NA,NA,NA,NA,6.3,0,"M",1998,-53.34,-39.13,NA,NA,NA,1.9,-0.1,NA,-0.372505248,"ANTA",-29,1,-3.03,3.41,-24.39,0.71,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",1.07063199307696,1.69849996806217,0.179401595588341,0.0109814417308012
"23","BAS_75","BAS","148","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",-50.55,-34.05,2008,NA,NA,NA,NA,5.2,0,"U",2008,-50.55,-34.05,3.8,206.8,NA,1.95,-0.1,105.3,-0.366572708,"SANT",-24,2,-2.71,3.03,-23.24849487,0,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",2.39457521304783,1.70066294351674,0.171872846318777,0.010735877613234
