"MyNumber","DIC","sd_DIC","diet","sd_diet"
"BAS_19",2.13882331369078,0.286368731708028,-28.4954404318856,1.11869578360531
"BAS_21",2.13882331369078,0.286368731708028,-27.9169853627583,1.13992883315857
"BAS_31",2.13882331369078,0.286368731708028,-27.4698281428746,1.11987579292557
"BAS_32",2.13882331369078,0.286368731708028,-28.9168575573577,1.11961634624648
"BAS_33",2.13882331369078,0.286368731708028,-28.1485774418856,1.11869578360531
"BAS_35",2.13882331369078,0.286368731708028,-27.2819176428746,1.11987579292557
"BAS_36",2.13882331369078,0.286368731708028,-27.2475755828746,1.11987579292557
"BAS_37",2.03416368425631,0.246539685981421,-28.5339949318856,1.11869578360531
"BAS_38",2.03416368425631,0.246539685981421,-27.7209974928746,1.11987579292557
"BAS_42",2.03416368425631,0.246539685981421,-28.2984934918856,1.11869578360531
"BAS_52",2.13882331369078,0.286368731708028,-28.2034324818856,1.11869578360531
"BAS_59",2.24616770602753,0.288369123965324,-27.9408778118856,1.11869578360531
"BAS_60",2.19233592279339,0.290686696018866,-28.0174524218856,1.11869578360531
"BAS_61",2.24616770602753,0.288369123965324,-27.9715161718856,1.11869578360531
"BAS_62",2.19616770602753,0.288369123965324,-27.9235660518856,1.11869578360531
"BAS_65",2.19233592279339,0.290686696018866,-28.3698883718856,1.11869578360531
"BAS_67",2.19616770602753,0.288369123965324,-27.2496147328746,1.11987579292557
"BAS_69",2.24616770602753,0.288369123965324,-27.8601059418856,1.11869578360531
"BAS_71",2.19233592279339,0.290686696018866,-28.1870917818856,1.11869578360531
"BAS_72",2.19616770602753,0.288369123965324,-27.6936760328746,1.11987579292557
"BAS_73",2.18924826356636,0.24813299929675,-25.0822816009958,1.09711488904902
"BAS_74",2.00559896048991,0.213707047553965,-25.2127007013565,1.30405838488665
"BAS_75",2.18924826356636,0.24813299929675,-24.0598591888786,1.09675797947983
"BAS_76",2.18924826356636,0.24813299929675,-24.9222816009958,1.09711488904902
"BAS_77",2.18924826356636,0.24813299929675,-25.2365202709958,1.09711488904902
"BAS_78",2.18924826356636,0.24813299929675,-26.3463145573324,1.09723189839875
"BAS_79",2.18924826356636,0.24813299929675,-24.9859124996063,1.13126157750547
"BAS_80",2.18924826356636,0.24813299929675,-24.8561737348101,1.43395519174388
"BAS_81",2.18924826356636,0.24813299929675,-25.4682800309958,1.09711488904902
"BAS_82",2.18924826356636,0.24813299929675,-24.7706989459509,1.13718329145629
"BAS_83",2.18924826356636,0.24813299929675,-24.7706989459509,1.13718329145629
"BAS_84",2.18924826356636,0.24813299929675,-24.9222816009958,1.09711488904902
"BAS_85",2.18924826356636,0.24813299929675,-24.8561737348101,1.43395519174388
"BAS_86",2.18924826356636,0.24813299929675,-26.7318976373324,1.09723189839875
"BAS_87",2.18924826356636,0.24813299929675,-24.7275205888786,1.09675797947983
"BAS_88",2.18924826356636,0.24813299929675,-25.9543955473324,1.09723189839875
"BAS_89",2.18924826356636,0.24813299929675,-25.8115476709958,1.09711488904902
"BAS_90",2.13882331369078,0.286368731708028,-27.7875460028746,1.11987579292557
"BAS_91",2.13882331369078,0.286368731708028,-29.0447412173577,1.11961634624648
"BAS_93",2.13882331369078,0.286368731708028,-29.0324381873577,1.11961634624648
"BAS_94",2.13882331369078,0.286368731708028,-28.2436982918856,1.11869578360531
"BAS_95",2.13882331369078,0.286368731708028,-29.0274831573577,1.11961634624648
"BAS_96",2.13924826356636,0.24813299929675,-26.2063409610422,2.34071732405385
"BAS_97",2.13924826356636,0.24813299929675,-26.2225965769699,1.12072635232726
"BAS_98",2.13882331369078,0.286368731708028,-27.2811182028746,1.11987579292557
"BAS_99",2.13924826356636,0.24813299929675,-27.1752208728746,1.11987579292557
"BAS_100",2.13924826356636,0.24813299929675,-27.0342993428746,1.11987579292557
"BAS_101",2.13924826356636,0.24813299929675,-26.3432623369699,1.12072635232726
"BAS_102",2.13924826356636,0.24813299929675,-28.7960901118856,1.11869578360531
"BAS_103",2.13882331369078,0.286368731708028,-27.7642304428746,1.11987579292557
"BAS_104",2.13882331369078,0.286368731708028,-28.6012890918856,1.11869578360531
"BAS_105",2.13882331369078,0.286368731708028,-28.2869611018856,1.11869578360531
"BAS_106",2.13882331369078,0.286368731708028,-27.1976964628746,1.11987579292557
"BAS_107",2.13924826356636,0.24813299929675,-25.5695186638214,1.119989888883
"BAS_110",2.13882331369078,0.286368731708028,-29.5454647673577,1.11961634624648
"BAS_111",2.13882331369078,0.286368731708028,-29.2755917373577,1.11961634624648
"BAS_112",2.13882331369078,0.286368731708028,-27.4200680028746,1.11987579292557
"BAS_120",2.13882331369078,0.286368731708028,-25.0665062838214,1.119989888883
"BAS_121",2.13882331369078,0.286368731708028,-26.7824693869699,1.12072635232726
"BAS_122",2.13882331369078,0.286368731708028,-29.0094045873577,1.11961634624648
"BAS_123",2.13882331369078,0.286368731708028,-26.4049180269699,1.12072635232726
"BAS_124",2.13882331369078,0.286368731708028,-26.9948176828746,1.11987579292557
"BAS_125",2.13882331369078,0.286368731708028,-25.3300348838214,1.119989888883
"BAS_126",2.13882331369078,0.286368731708028,-27.0952214028746,1.11987579292557
"BAS_127",2.13882331369078,0.286368731708028,-28.6634072018856,1.11869578360531
"BAS_128",2.03416368425631,0.246539685981421,-27.1703320828746,1.11987579292557
"BAS_220",2.03416368425631,0.246539685981421,-27.0008168528746,1.11987579292557
"BAS_129",2.03416368425631,0.246539685981421,-28.0871934318856,1.11869578360531
"BAS_130",2.14158493967298,0.251181410167175,-25.7534972838214,1.119989888883
