"var_names","mean","stan_dev"
"a",0.18,0.013
"b_C",0.023,0.011
"a_Var_ELN",0.035,0.013
"a_Var_ELC",-0.01,0.013
"a_Var_GYR",0.027,0.013
"a_Var_GYN",-0.036,0.014
"a_Var_KRA",-0.011,0.016
"a_Var_PRM",-0.013,0.013
"sigma_Species",0.035,0.014
"sigma",0.017,0.001
