"MR","sd_MR","min_MR","max_MR"
-1.13937858416358,0.584038535577675,-3.33742297477608,1.06826550169173
-0.854503223238236,0.465295957473935,-2.48366777353408,0.810757274737209
-0.893999655857455,0.475245104694937,-2.75660357164667,0.835657934826573
-0.896089007666468,0.500045326804752,-2.81393426847734,1.06385387930961
-0.734057072776438,0.485140586566877,-2.48720337840651,1.01143142132061
-0.773987582951073,0.477267680974846,-2.68637444788564,0.971412808560864
-0.734294275296793,0.478094330165765,-2.6387494480719,1.00373764324822
-0.784340077324209,0.464471288170225,-2.46606961432115,0.904752661275368
-0.866168925906214,0.475605189357527,-2.7442695572216,0.862784154899896
-0.861546181679276,0.476433726960349,-2.76178992279052,0.872686956248795
-0.886176656457597,0.464336523626248,-2.53728309116988,0.801420376471965
-1.13979893210978,0.474074760829467,-2.92058560670768,0.527892059379168
-0.920516689621095,0.464292823496536,-2.5768417225421,0.772401331282184
-1.27161352316328,0.474529710724551,-3.03496235349024,0.379626922049252
-1.22145181735696,0.56854905198202,-3.33234266544704,0.935949528265044
-1.07197594251585,0.583140694508618,-3.27807010104855,1.12452756961617
-0.754735317619659,0.478411136048882,-2.69908423168311,0.989306003261483
-0.859057628890163,0.464378034552343,-2.50766257977942,0.825998135026612
-0.66788908858043,0.479562797436117,-2.39376366103367,1.22333601930614
-0.786631010649257,0.483088818517099,-2.8400003842904,1.13795286435805
-0.679977310208123,0.477307618848917,-2.38739991212056,1.12708289990125
-0.731037328215934,0.483052486486722,-2.48508657851147,1.00013267264966
-0.575743034876474,0.48091670051418,-2.31487763148264,1.32991187989851
-0.590963505431636,0.480328017230199,-2.32387375708014,1.3079376371366
-0.711837926913679,0.478941485618103,-2.40917547127597,1.19773822082806
-0.677431119314942,0.484662309502451,-2.41933583181784,1.07211490762078
-0.521370975678588,0.482061430653648,-2.27825983997693,1.38702612163359
-0.666346048533723,0.477954798582275,-2.37055264926961,1.15309771023663
-0.808666421708746,0.464514384240169,-2.49955670523968,0.874854257584114
-0.962171425387383,0.589132230542853,-3.22375722942745,1.2314892615744
-0.777788602185719,0.587881636814994,-3.07185670547318,1.42820504726417
-0.934640509127032,0.507984257314485,-2.87520809781874,1.1008766508677
-0.889547040161509,0.498662274508281,-2.81829411360579,1.06447241065108
-1.00852855627772,0.490738528551597,-2.89279049125409,0.933818347294708
-0.963615870200827,0.473881797786672,-2.7954122639048,0.75217656857056
-0.937402262966007,0.57923472701398,-3.15927177121244,1.21771834150761
-1.13118797544111,0.572147249311028,-3.27346043755349,1.03927865648842
-0.949331729979031,0.464293448520285,-2.60518742796849,0.743107053294662
-0.902110038631338,0.577881914783913,-3.13087567010758,1.24098067983785
