"","intercept_mod","scal_mod","p_mod","rsq_mod","adj_rsq_mod","aic_mod"
"1.1",0.221154000427432,-0.00698271660294196,0.000863175166802719,0.0998643415757439,0.0913724957415527,-353.979132027493
"1.2",0.223381957387622,-0.00847689743051356,0.000133960965216829,0.12910987196181,0.120893927357676,-345.930773276205
"1.3",0.223537008995187,-0.00471260493384608,0.0180594547513974,0.051608236508136,0.042661144399722,-353.674550008182
"1.4",0.223693050765387,-0.00607748616324304,0.00484579607409084,0.0724612332032842,0.0637108674787868,-341.371476025191
"1.5",0.227323008547726,-0.00721836204685191,0.000413889417868646,0.111461464082457,0.103079025064367,-360.782570944707
"1.6",0.215426637330455,-0.00677244232796625,0.000110948356435825,0.132038334900998,0.123850017305724,-390.159596800171
"1.7",0.217083357709051,-0.00580107123415051,0.00188427613711635,0.0874843385326531,0.0788757002169233,-375.646736545722
"1.8",0.223798805007204,-0.00778547774846281,0.000305576697451112,0.116227495251206,0.107890018791311,-362.898354051114
"1.9",0.226589230030923,-0.00923213714291469,1.89600956469385e-05,0.159165629383405,0.151233229660607,-349.566690195087
"1.10",0.224778721343004,-0.0058147764560637,0.00805525962376085,0.064382616078579,0.0555560369849806,-348.651101619983
"1.11",0.224609671249038,-0.00788054478326564,4.21953848336494e-05,0.146957140580447,0.13890956643498,-376.372239439834
"1.12",0.22264394471029,-0.0084756863281367,1.69498024062291e-05,0.160865761747814,0.152949401009586,-369.141172539758
"1.13",0.22003337044812,-0.00902189715464936,6.06687012566391e-06,0.176327963043383,0.168557472128698,-371.842341876684
"1.14",0.221504863351558,-0.00465747862746329,0.0188645972189315,0.050921688711557,0.0419681197371377,-363.463192295493
"1.15",0.2244768719376,-0.00686661082075095,0.000893628510017299,0.0993157018985632,0.0908186802183609,-356.727250295058
"1.16",0.219471501010761,-0.00307806121718973,0.196604834788176,0.0156803886304305,0.0063943545609062,-334.182384376365
"1.17",0.227239172638951,-0.00549077106168893,0.00969944425926819,0.0614350184685493,0.052580631850328,-343.449635728788
"1.18",0.217867028506792,-0.00743593369614763,9.38142416363133e-05,0.134639354738538,0.12647557506626,-373.902636238881
"1.19",0.216739856873582,-0.00624752492856628,0.000388354108214868,0.112462917450869,0.104089926106066,-374.87436219646
"1.20",0.225361583811671,-0.00777490258018766,0.000173245558442721,0.125104511042815,0.116850780014917,-362.334902710196
"1.21",0.223311717485876,-0.00417961331861143,0.0300458135592589,0.0436312227884203,0.034608875833594,-363.759668945775
"1.22",0.21963715495175,-0.00482352477252615,0.00553112282467611,0.0703572209808589,0.0615870060844519,-381.317156379511
"1.23",0.222650089281673,-0.00575073182786034,0.00796525619912333,0.064561036950737,0.0557361410729137,-344.84982966356
"1.24",0.224560645275034,-0.004893473878044,0.010738696236644,0.0598214929478767,0.050951884390781,-344.564925867671
"1.25",0.220288518016673,-0.00869230382746169,7.12246482637164e-06,0.173928594126306,0.166135467655799,-373.813707373192
"1.26",0.219996252796895,-0.00911294917286798,9.33465010454708e-06,0.169870395192408,0.162038983826299,-380.942318722253
"1.27",0.216711042759131,-0.00864268634395854,8.74924133741272e-06,0.170843549594192,0.163021318929987,-379.973924426591
"1.28",0.219962328458331,-0.00832352259963767,3.87348076629342e-05,0.148269140768279,0.140233943983074,-368.675957490284
"1.29",0.221018848730773,-0.00726456700571352,5.23637571338598e-06,0.178525047421529,0.170775283717958,-404.396851537241
"1.30",0.217878120794797,-0.00500722554954416,0.0117786592469904,0.0583574289446242,0.0494740084629697,-360.056950147257
"1.31",0.22238065674275,-0.00693023942085083,0.00038577375851795,0.112567721942509,0.104195719319325,-360.799852334479
"1.32",0.225426516202597,-0.00937174893263643,6.13027378683783e-07,0.209996558686561,0.20254369603266,-376.95819053657
"1.33",0.220759448067812,-0.0056383200126915,0.00573527902843743,0.0697808189870011,0.061005166335935,-351.308943731551
"1.34",0.224680923445248,-0.00876862175335991,0.000493059843973773,0.10870603436025,0.100297600722139,-337.852990282159
"1.35",0.22340821191224,-0.00638789930934117,0.00359009405814119,0.0772331753641947,0.06852782796197,-361.28381585107
"1.36",0.224284398603308,-0.00485453691477017,0.0260514529427254,0.0458579162242551,0.0368565758112762,-345.442954083809
"1.37",0.221633110915488,-0.008623690929788,1.68187763256909e-05,0.160983380607438,0.153068129481092,-377.840154684905
"1.38",0.22177714706673,-0.00714400547915124,0.00062120477631898,0.105062879731147,0.0966200767097428,-348.006122840387
"1.39",0.21947377807236,-0.00535618590798322,0.00912983118302511,0.0623950321813379,0.0535497022962561,-370.34570668034
"1.40",0.220789855711906,-0.00509789606860936,0.0173949611827445,0.0521986960375819,0.0432571743020873,-361.625067959855
"1.41",0.227594055506757,-0.00864129920499978,0.000106202694257926,0.13271664698128,0.124534728556575,-356.744825078812
"1.42",0.227557033465033,-0.0105912031032598,5.21599872674317e-06,0.178583174694192,0.170833959361119,-352.870343330137
"1.43",0.217952129911818,-0.00636149016412954,0.00419855952236419,0.0747421493731717,0.0660133017257487,-364.762495273509
"1.44",0.222876704017697,-0.00729551550542824,0.000203495373578399,0.122592315919718,0.114314884937828,-362.852607450779
"1.45",0.219448308359053,-0.00481803489030223,0.0113486447426359,0.0589463347431234,0.050068469976549,-354.906093383457
"1.46",0.223321289306762,-0.00746904720903066,0.0015485202155982,0.0906010455163582,0.0820218100967011,-338.384237586196
"1.47",0.218283864865888,-0.00536695105270164,0.00796349172129457,0.0645645550446572,0.0557396923563991,-356.408112615882
"1.48",0.221263925436018,-0.00612491413243342,0.00181033092641257,0.0881203576778926,0.0795177195427783,-358.467829773128
"1.49",0.22347996868951,-0.00575574553063085,0.00307189373200436,0.0797132481043809,0.0710312976147995,-351.542279892197
"1.50",0.220442723779008,-0.00565150505680084,0.00525279318503528,0.0711783825815857,0.0624159144927326,-368.016162284756
"1.51",0.225623992535096,-0.0115831887234476,1.19527990366759e-07,0.23328818869649,0.226055058401174,-365.920023537859
"1.52",0.220524373579639,-0.00965708321999847,5.21667663593289e-06,0.178581237298463,0.170832003688071,-368.587759155755
"1.53",0.221144953169486,-0.00675548831899711,0.00202899695863699,0.0863084877448601,0.07768875649717,-346.019695749134
"1.54",0.221211157149016,-0.00438048739295543,0.0246650463933776,0.0467135056698254,0.0377202368553897,-355.828058986292
"1.55",0.218733052764504,-0.00498948767560914,0.0118215038655028,0.0582999468313488,0.0494159840656067,-370.170699848244
"1.56",0.221072563941387,-0.00914158538613763,3.1129092059739e-05,0.151614137664822,0.143610497454112,-365.396791751474
"1.57",0.227250909776776,-0.00896732465012878,2.47697159962517e-05,0.1551008495895,0.147130102887514,-350.768854218917
"1.58",0.220427839569998,-0.00659536725542805,0.000292498534056785,0.116913504514582,0.108582499840191,-373.107433966041
"1.59",0.222207732201063,-0.0063752058514017,0.00054430367586993,0.107147665443519,0.0987245302118535,-367.369083068215
"1.60",0.223400141278554,-0.00624474898161805,0.00281756753168848,0.0810879727529335,0.07241899136381,-349.11539813673
"1.61",0.215414961580276,-0.00539931072898654,0.00361105362325275,0.0771405566524678,0.0684343354888117,-384.977254784037
"1.62",0.225878424423925,-0.00626470503507533,0.00285837189297814,0.0808592649325325,0.0721881259224619,-352.512223831497
"1.63",0.221468560078737,-0.0065651272650558,0.00120792350614255,0.0945419051441456,0.0859998476455054,-362.752654556768
"1.64",0.215687813070723,-0.00469975510714759,0.0115449562292359,0.0586747395492565,0.049794312563872,-373.170631496899
"1.65",0.219258773793416,-0.00634404819381848,0.00600291026574891,0.0690556151557551,0.0602731209591112,-340.559317085459
"1.66",0.224638124946053,-0.00769647449597742,0.000213769579163418,0.121822587607401,0.11353789503766,-360.396716872795
"1.67",0.217370550656696,-0.00677081114679446,0.000678268283761475,0.103675303234548,0.0952194098688357,-375.174094412394
"1.68",0.221094959336299,-0.00543499105902624,0.00542723206557466,0.0706587830467632,0.0618914130755062,-356.416789920276
"1.69",0.222534587743607,-0.00586981534210456,0.00356681620947005,0.0773366740154057,0.068632303015551,-347.065528154161
"1.70",0.222317766433634,-0.00677074564845233,0.000964992452391789,0.0980995329055475,0.0895910379329582,-359.90171878511
"1.71",0.220617377152403,-0.0072193638289399,0.000438940838518943,0.110536810757308,0.102145648594641,-353.366271038938
"1.72",0.220320896385637,-0.00791541675869023,6.85102898083982e-05,0.139499504648453,0.131381575447023,-376.875132640722
"1.73",0.216567591682318,-0.00496663335268127,0.00819671649001059,0.0641062078158938,0.0552770210971757,-376.81258868098
"1.74",0.225705348372649,-0.00738390050595081,0.000439525172389664,0.110515872792639,0.102124513102003,-359.235533763958
"1.75",0.223593577507545,-0.00562762312284416,0.00269611059695011,0.0817888344125233,0.0731264649258488,-362.540740063772
"1.76",0.2197766007255,-0.00547673927054817,0.00367467526769885,0.0768626738993071,0.0681538312002439,-361.045030194006
"1.77",0.220430668484184,-0.00639695922351627,0.00101753510380434,0.0972599405511705,0.0887435248959928,-381.555998230119
"1.78",0.222443315457313,-0.00832682697677197,4.06611619081227e-05,0.147525177336456,0.139482962028309,-371.966866783486
"1.79",0.217376466560514,-0.0056178674129535,0.00508073125356243,0.0717081277253197,0.0629506572321623,-373.883110233677
"1.80",0.223468174684036,-0.00790687277322841,0.000170385970383895,0.125364078714853,0.117112796438578,-363.13235145498
"1.81",0.221010690176308,-0.00419184919686601,0.0517442164848519,0.0352309890465956,0.0261293946036388,-355.427512276106
"1.82",0.221054925298181,-0.00614493709872528,0.00557514017024716,0.0702311615417735,0.0614597574053751,-355.509461509606
"1.83",0.217825690209143,-0.00716565202560099,2.22200824693858e-05,0.156754537353725,0.148799391479704,-406.869054317124
"1.84",0.223648135587344,-0.00656044039552663,0.00313138411858277,0.0794081060407325,0.0707232768524375,-339.258681072621
"1.85",0.219092342522257,-0.00540927697631055,0.00401022554914534,0.0754723478166562,0.0667503888337944,-359.064443359908
"1.86",0.221467273113173,-0.0077635386222101,0.000427883751471499,0.11093830614673,0.102550931676416,-353.86752246962
"1.87",0.219926947678904,-0.00463838024173989,0.0114302412822789,0.0588328750260914,0.049953939884828,-379.236635122418
"1.88",0.223850133589035,-0.00608277365019034,0.00499018128992509,0.0719941789185165,0.0632394070215212,-349.477262811192
"1.89",0.219882698044107,-0.00688873649310451,0.000348479332059892,0.114165332167801,0.105808401339195,-360.266518678542
"1.90",0.223700394819535,-0.00518015249808503,0.00604103559806036,0.0689549544144928,0.0601715105882143,-351.982408768156
"1.91",0.222018815019879,-0.00749230948418187,0.000131729989234686,0.12937105320844,0.121157572578331,-377.49074241873
"1.92",0.225810124937227,-0.00740054235760134,0.000318398223980463,0.115582614768741,0.10723905453071,-345.725894616554
"1.93",0.222627568552383,-0.00584214031830477,0.00870845893901565,0.0631448549307408,0.0543065988451817,-343.090969838278
"1.94",0.223492100160954,-0.00655896764572507,0.000547688782629408,0.107049908467991,0.0986258510007081,-373.497200710366
"1.95",0.224202665421039,-0.00984888137536186,2.61516122937921e-05,0.154273470865932,0.14629491870429,-362.802531616167
"1.96",0.216813682272856,-0.00703578673087738,0.000714131758991601,0.102861349751661,0.0943977775795063,-363.401364470094
"1.97",0.221299747972016,-0.0036555338843413,0.0765017687000535,0.0293026211086015,0.0201450986662297,-363.518229439759
"1.98",0.224870594054251,-0.00424178283377031,0.06560482926833,0.0316184465287265,0.0224827714959785,-345.08869211147
"1.99",0.221384822297788,-0.00736047800728983,0.000650571345485192,0.10433369618473,0.0958840140732655,-355.181885320669
"1.100",0.218510192771427,-0.0064614441076898,0.00404615655337905,0.0753304255712239,0.0666071276992543,-359.651666902159
"1.101",0.221702716515244,-0.00731538480157503,0.000546873362329624,0.107073401719361,0.0986495658865248,-367.931101459253
"1.102",0.224332227315009,-0.0059213581721117,0.00168641296527691,0.0892465842159942,0.0806545708595412,-374.020526600586
