"","intercept_mod","scal_mod","p_mod","rsq_mod","adj_rsq_mod","aic_mod"
"1.1",0.230811999610718,-0.0149666546608134,0.0843641974898726,0.0278391482731351,0.018667819483259,-333.35862790933
"1.2",0.22536500136313,-0.0131084544156052,0.0846570833897396,0.0277874706076523,0.01861565429263,-341.711533119886
"1.3",0.22923446201642,-0.0131443770244697,0.120925001164115,0.0225406594822282,0.0133193449490415,-361.764819096981
"1.4",0.222470281860512,-0.00961192171180673,0.171648121360682,0.017554574130212,0.00828622105596866,-353.535791270625
"1.5",0.226494697229881,-0.0150071906349981,0.0232947393897719,0.0476088632905938,0.0386240412461653,-361.085713068085
"1.6",0.218104861052926,-0.00929677408991937,0.175624443697725,0.017235831151443,0.00796447106796594,-367.988939034734
"1.7",0.228046089557451,-0.0172367413361144,0.0126249147904192,0.0572593655159379,0.0483655859453335,-365.329423470605
"1.8",0.233088584562106,-0.022456309380015,0.0136468422286065,0.0560285027379413,0.0471231112543369,-337.63485884542
"1.9",0.228440360691153,-0.0148071030885601,0.0460780953293225,0.0370099156007321,0.0279251034837578,-343.141660171288
"1.10",0.224996939820259,-0.0177350257464906,0.0125623608381031,0.0573379493558531,0.048444911142229,-359.889014551096
"1.11",0.239197765990942,-0.027527729170353,0.000671036726746598,0.103844596570214,0.0953903003114421,-358.535439866094
"1.12",0.22770106411128,-0.0235495869501076,0.00609399019069951,0.0688161929901869,0.0600314400938677,-351.783095484319
"1.13",0.22987090498509,-0.0142291841571247,0.0823251817053178,0.0282043010241814,0.0190364170715792,-344.822479353551
"1.14",0.230383280396678,-0.0201385064258428,0.0183505707464028,0.0513564745672989,0.0424070073462356,-346.943019555966
"1.15",0.232214303999861,-0.0242133556468829,0.00225214067629465,0.0846499909364341,0.0760146134924381,-345.273348936326
"1.16",0.23252295109216,-0.0221656958711036,0.00648805948123378,0.0678200722246028,0.0590259219625706,-346.795800868787
"1.17",0.229242112138634,-0.0210470706028592,0.0155967489929837,0.0539192193211876,0.0449939289374252,-340.297584230432
