"","chi","df","p_value"
"Kruskal-Wallis chi-squared.349",46.3810061972104,5,7.59623257277065e-09
"Kruskal-Wallis chi-squared.350",55.1217376805328,5,1.23221097446787e-10
"Kruskal-Wallis chi-squared.351",46.3436660323231,5,7.73043647314469e-09
"Kruskal-Wallis chi-squared.352",60.8072561853756,5,8.27692601640677e-12
"Kruskal-Wallis chi-squared.353",56.8491276987215,5,5.43229900593246e-11
"Kruskal-Wallis chi-squared.354",60.2541560548249,5,1.07699561788258e-11
"Kruskal-Wallis chi-squared.355",58.1619006216146,5,2.9126140246684e-11
"Kruskal-Wallis chi-squared.356",49.1315758440293,5,2.08599125671862e-09
"Kruskal-Wallis chi-squared.357",48.6171210165487,5,2.65731059584639e-09
"Kruskal-Wallis chi-squared.358",52.4013526876494,5,4.46315240054591e-10
"Kruskal-Wallis chi-squared.359",50.8499274660236,5,9.28312821690284e-10
"Kruskal-Wallis chi-squared.360",44.1012456487504,5,2.20915532753537e-08
"Kruskal-Wallis chi-squared.361",61.261911351804,5,6.66558638624235e-12
"Kruskal-Wallis chi-squared.362",50.0769239387369,5,1.33646679482672e-09
"Kruskal-Wallis chi-squared.363",48.6238608378595,5,2.64889933841706e-09
"Kruskal-Wallis chi-squared.364",42.5667672358927,5,4.52275162297938e-08
"Kruskal-Wallis chi-squared.365",49.028246434579,5,2.18994582424478e-09
"Kruskal-Wallis chi-squared.366",48.2662715432222,5,3.134012027637e-09
"Kruskal-Wallis chi-squared.367",51.8204095040023,5,5.87222339159523e-10
"Kruskal-Wallis chi-squared.368",57.8520159080317,5,3.37451402803794e-11
"Kruskal-Wallis chi-squared.369",47.0828160750861,5,5.46482538373167e-09
"Kruskal-Wallis chi-squared.370",49.8288757812261,5,1.50214932239236e-09
"Kruskal-Wallis chi-squared.371",52.1390827160845,5,5.05180769045609e-10
"Kruskal-Wallis chi-squared.372",46.4351239073879,5,7.40584145388519e-09
"Kruskal-Wallis chi-squared.373",56.3503064941841,5,6.88270506284828e-11
"Kruskal-Wallis chi-squared.374",46.5182028195151,5,7.12278044953389e-09
"Kruskal-Wallis chi-squared.375",46.1965027998431,5,8.28277177480034e-09
"Kruskal-Wallis chi-squared.376",43.439575147619,5,3.00952105041526e-08
"Kruskal-Wallis chi-squared.377",47.5336709135073,5,4.42207560299302e-09
"Kruskal-Wallis chi-squared.378",47.4432123662277,5,4.61401698069303e-09
"Kruskal-Wallis chi-squared.379",48.1391742382881,5,3.32699025010414e-09
"Kruskal-Wallis chi-squared.380",50.2044713856357,5,1.2585023019468e-09
"Kruskal-Wallis chi-squared.381",41.6754101930487,5,6.85189163229804e-08
"Kruskal-Wallis chi-squared.382",64.0359876876336,5,1.7758231026639e-12
"Kruskal-Wallis chi-squared.383",46.9662756985406,5,5.77212033971002e-09
"Kruskal-Wallis chi-squared.384",48.0425872274978,5,3.48152870261758e-09
"Kruskal-Wallis chi-squared.385",33.8445938781114,5,2.55677325701154e-06
"Kruskal-Wallis chi-squared.386",50.9379866061989,5,8.90545932573875e-10
"Kruskal-Wallis chi-squared.387",51.4710886092728,5,6.92496487693253e-10
"Kruskal-Wallis chi-squared.388",42.3439303947342,5,5.01798033367517e-08
"Kruskal-Wallis chi-squared.389",53.2096057286588,5,3.04602127950952e-10
"Kruskal-Wallis chi-squared.390",41.9489524389615,5,6.03218563074556e-08
"Kruskal-Wallis chi-squared.391",59.5656962683136,5,1.49441242371119e-11
"Kruskal-Wallis chi-squared.392",49.2391665062398,5,1.98297738296019e-09
"Kruskal-Wallis chi-squared.393",47.3254801496756,5,4.87632481688555e-09
"Kruskal-Wallis chi-squared.394",46.1291467185082,5,8.54853325996106e-09
"Kruskal-Wallis chi-squared.395",48.712615599381,5,2.54057986328245e-09
"Kruskal-Wallis chi-squared.396",50.2527092676225,5,1.23021360117842e-09
"Kruskal-Wallis chi-squared.397",42.6333038779115,5,4.38455364558659e-08
"Kruskal-Wallis chi-squared.398",46.981328102892,5,5.73148090382014e-09
"Kruskal-Wallis chi-squared.399",35.882936211128,5,1.00242065256177e-06
"Kruskal-Wallis chi-squared.400",43.8272555226285,5,2.51097758983349e-08
"Kruskal-Wallis chi-squared.401",56.7060597692588,5,5.81387552785542e-11
"Kruskal-Wallis chi-squared.402",48.9800538929022,5,2.24018137476834e-09
"Kruskal-Wallis chi-squared.403",54.4145374078597,5,1.7224278699488e-10
"Kruskal-Wallis chi-squared.404",50.1232223915908,5,1.30762457265446e-09
"Kruskal-Wallis chi-squared.405",41.5847031682462,5,7.14750237238251e-08
"Kruskal-Wallis chi-squared.406",34.77291879035,5,1.6700945259857e-06
"Kruskal-Wallis chi-squared.407",35.542194260611,5,1.17263615994325e-06
"Kruskal-Wallis chi-squared.408",43.6609293816781,5,2.71389888722207e-08
"Kruskal-Wallis chi-squared.409",49.1237803614391,5,2.09365924892046e-09
"Kruskal-Wallis chi-squared.410",46.5117594985846,5,7.14434240728541e-09
"Kruskal-Wallis chi-squared.411",43.3739665617843,5,3.10315686403653e-08
"Kruskal-Wallis chi-squared.412",45.6650096939898,5,1.06260134227113e-08
"Kruskal-Wallis chi-squared.413",45.6831665946061,5,1.05359943717183e-08
"Kruskal-Wallis chi-squared.414",45.3917636328634,5,1.20771098362119e-08
"Kruskal-Wallis chi-squared.415",63.3288342806407,5,2.48854594493841e-12
"Kruskal-Wallis chi-squared.416",48.5727774043251,5,2.71331926341176e-09
"Kruskal-Wallis chi-squared.417",48.49682749327,5,2.81199728661926e-09
"Kruskal-Wallis chi-squared.418",52.7205921802167,5,3.8382111314802e-10
"Kruskal-Wallis chi-squared.419",46.8640304064112,5,6.0558776781048e-09
"Kruskal-Wallis chi-squared.420",51.3045797921079,5,7.49107513056988e-10
"Kruskal-Wallis chi-squared.421",55.2203508035544,5,1.17596524628709e-10
"Kruskal-Wallis chi-squared.422",46.3363656112157,5,7.75694982398276e-09
"Kruskal-Wallis chi-squared.423",43.4246441416848,5,3.03057978929232e-08
"Kruskal-Wallis chi-squared.424",55.9034426550276,5,8.50724991481076e-11
"Kruskal-Wallis chi-squared.425",43.8830812264816,5,2.44631731140005e-08
"Kruskal-Wallis chi-squared.426",42.5759409166316,5,4.50344275222785e-08
"Kruskal-Wallis chi-squared.427",48.2026138004963,5,3.22922933003568e-09
"Kruskal-Wallis chi-squared.428",38.3900925636632,5,3.15007902119292e-07
"Kruskal-Wallis chi-squared.429",49.0894265029366,5,2.12778760925549e-09
"Kruskal-Wallis chi-squared.430",48.4900935630436,5,2.82091721177892e-09
"Kruskal-Wallis chi-squared.431",49.0426266767236,5,2.17517478185003e-09
"Kruskal-Wallis chi-squared.432",45.7629165180746,5,1.01495255433248e-08
"Kruskal-Wallis chi-squared.433",54.0225939917252,5,2.07353597533741e-10
"Kruskal-Wallis chi-squared.434",57.0440776192445,5,4.95226730341319e-11
"Kruskal-Wallis chi-squared.435",56.1068706875422,5,7.72500327523001e-11
"Kruskal-Wallis chi-squared.436",54.982178470401,5,1.31642884515946e-10
"Kruskal-Wallis chi-squared.437",49.535925515654,5,1.72439438043059e-09
"Kruskal-Wallis chi-squared.438",46.5669925698699,5,6.96160234098997e-09
"Kruskal-Wallis chi-squared.439",48.0223788093488,5,3.51475669813206e-09
"Kruskal-Wallis chi-squared.440",62.4525135994631,5,3.77957375129146e-12
"Kruskal-Wallis chi-squared.441",54.2812677718762,5,1.83459578904364e-10
"Kruskal-Wallis chi-squared.442",31.5292996237069,5,7.36247267758923e-06
"Kruskal-Wallis chi-squared.443",49.8826143054464,5,1.46459833261482e-09
"Kruskal-Wallis chi-squared.444",46.8717594565054,5,6.03394991820962e-09
"Kruskal-Wallis chi-squared.445",48.9940064002423,5,2.22552032484939e-09
"Kruskal-Wallis chi-squared.446",41.2319846958044,5,8.42283454199677e-08
"Kruskal-Wallis chi-squared.447",47.6911531692456,5,4.10672402809754e-09
"Kruskal-Wallis chi-squared.448",40.684344706282,5,1.08662765428958e-07
"Kruskal-Wallis chi-squared.449",45.4967495416,5,1.14975653963393e-08
"Kruskal-Wallis chi-squared.450",49.4520216939183,5,1.7938883710111e-09
"Kruskal-Wallis chi-squared.451",53.3052247080495,5,2.91136115480247e-10
"Kruskal-Wallis chi-squared.452",41.7493653408571,5,6.6199140027301e-08
"Kruskal-Wallis chi-squared.453",53.2568543818622,5,2.97872169061884e-10
"Kruskal-Wallis chi-squared.454",52.8938529164549,5,3.53641977982494e-10
"Kruskal-Wallis chi-squared.455",50.8948871173556,5,9.08835000628464e-10
"Kruskal-Wallis chi-squared.456",39.337975139624,5,2.03041681840195e-07
"Kruskal-Wallis chi-squared.457",45.8079168810075,5,9.93772520686464e-09
"Kruskal-Wallis chi-squared.458",42.9336319376724,5,3.8113115014896e-08
"Kruskal-Wallis chi-squared.459",48.8810983506015,5,2.34696354591267e-09
"Kruskal-Wallis chi-squared.460",50.9636523250322,5,8.79829709024593e-10
"Kruskal-Wallis chi-squared.461",50.6895844576362,5,1.00123115199725e-09
"Kruskal-Wallis chi-squared.462",48.5239373167583,5,2.77637065449739e-09
"Kruskal-Wallis chi-squared.463",43.7589812211166,5,2.59237644327161e-08
"Kruskal-Wallis chi-squared.464",59.5830229468256,5,1.48214688564562e-11
"Kruskal-Wallis chi-squared.465",42.5043894364442,5,4.65625094020509e-08
"Kruskal-Wallis chi-squared.466",50.3884581033444,5,1.15396339179327e-09
"Kruskal-Wallis chi-squared.467",40.7821310787312,5,1.03833097317549e-07
"Kruskal-Wallis chi-squared.468",46.0515668180465,5,8.8651858529115e-09
"Kruskal-Wallis chi-squared.469",48.0669974615738,5,3.44180930961873e-09
"Kruskal-Wallis chi-squared.470",53.5544478738972,5,2.5876474016148e-10
"Kruskal-Wallis chi-squared.471",49.9429343806839,5,1.42356266385238e-09
"Kruskal-Wallis chi-squared.472",47.7138831819009,5,4.06309934498689e-09
"Kruskal-Wallis chi-squared.473",46.4031037598794,5,7.51790876610973e-09
"Kruskal-Wallis chi-squared.474",46.3414140075259,5,7.73860562644173e-09
"Kruskal-Wallis chi-squared.475",56.034588292101,5,7.99436915279398e-11
"Kruskal-Wallis chi-squared.476",44.7735625491143,5,1.61308631437962e-08
"Kruskal-Wallis chi-squared.477",40.5865898406146,5,1.13714521866243e-07
"Kruskal-Wallis chi-squared.478",47.6218844316523,5,4.24257006950837e-09
"Kruskal-Wallis chi-squared.479",44.4774339383267,5,1.85279506678556e-08
"Kruskal-Wallis chi-squared.480",49.0553312209588,5,2.1622076762079e-09
"Kruskal-Wallis chi-squared.481",48.4924753494939,5,2.81775901958271e-09
"Kruskal-Wallis chi-squared.482",54.8461997771907,5,1.40400713665212e-10
"Kruskal-Wallis chi-squared.483",52.0848435022917,5,5.18289212617506e-10
"Kruskal-Wallis chi-squared.484",46.874088854384,5,6.02735682183585e-09
"Kruskal-Wallis chi-squared.485",48.9050239903891,5,2.32068918538262e-09
"Kruskal-Wallis chi-squared.486",41.7203681612137,5,6.70992285297717e-08
"Kruskal-Wallis chi-squared.487",48.5282982445621,5,2.7706818826645e-09
"Kruskal-Wallis chi-squared.488",46.4441737175583,5,7.37447103024638e-09
"Kruskal-Wallis chi-squared.489",45.2157652255602,5,1.3114717815363e-08
"Kruskal-Wallis chi-squared.490",35.1469884987098,5,1.40636063215908e-06
"Kruskal-Wallis chi-squared.491",51.4434474836128,5,7.01589628121831e-10
"Kruskal-Wallis chi-squared.492",46.4295692986138,5,7.42516191119735e-09
"Kruskal-Wallis chi-squared.493",46.2511169390767,5,8.07334534318581e-09
"Kruskal-Wallis chi-squared.494",50.4787979347541,5,1.10585090563125e-09
"Kruskal-Wallis chi-squared.495",42.129977939993,5,5.54422161056888e-08
"Kruskal-Wallis chi-squared.496",52.3978043086971,5,4.47064075940342e-10
"Kruskal-Wallis chi-squared.497",50.8295454712815,5,9.37279541252018e-10
"Kruskal-Wallis chi-squared.498",53.0524376465539,5,3.28099532295548e-10
"Kruskal-Wallis chi-squared.499",46.5938909455085,5,6.87430345216462e-09
"Kruskal-Wallis chi-squared.500",55.1728562501775,5,1.20272734022585e-10
"Kruskal-Wallis chi-squared.501",62.1577838582184,5,4.34968933075976e-12
"Kruskal-Wallis chi-squared.502",40.0860052030899,5,1.43490175408183e-07
"Kruskal-Wallis chi-squared.503",48.5547857170659,5,2.73637821508906e-09
"Kruskal-Wallis chi-squared.504",58.0032556656978,5,3.14060334793799e-11
"Kruskal-Wallis chi-squared.505",56.4642476927463,5,6.52059528933921e-11
"Kruskal-Wallis chi-squared.506",55.9866230831622,5,8.17826900032589e-11
"Kruskal-Wallis chi-squared.507",48.1136304964606,5,3.36718187091413e-09
"Kruskal-Wallis chi-squared.508",52.2937924802412,5,4.69580113901335e-10
"Kruskal-Wallis chi-squared.509",34.9877412320151,5,1.51315032542593e-06
"Kruskal-Wallis chi-squared.510",42.198834880269,5,5.36912028563501e-08
"Kruskal-Wallis chi-squared.511",49.5472726383326,5,1.71520452768079e-09
"Kruskal-Wallis chi-squared.512",48.2447537789728,5,3.1658801707464e-09
"Kruskal-Wallis chi-squared.513",50.0265022002148,5,1.36859998059256e-09
"Kruskal-Wallis chi-squared.514",63.5964213766413,5,2.19028937562053e-12
"Kruskal-Wallis chi-squared.515",41.6983310347584,5,6.77914189731459e-08
"Kruskal-Wallis chi-squared.516",48.0348775338238,5,3.49416835944157e-09
"Kruskal-Wallis chi-squared.517",53.7748787330802,5,2.33140222764712e-10
"Kruskal-Wallis chi-squared.518",52.4052264438153,5,4.454991666377e-10
"Kruskal-Wallis chi-squared.519",51.5780523969876,5,6.58402749783602e-10
"Kruskal-Wallis chi-squared.520",56.0987045400273,5,7.754975392481e-11
"Kruskal-Wallis chi-squared.521",45.9083187897188,5,9.4809199880035e-09
"Kruskal-Wallis chi-squared.522",33.2459029612167,5,3.36310693946608e-06
"Kruskal-Wallis chi-squared.523",46.6779414131659,5,6.60848992498967e-09
"Kruskal-Wallis chi-squared.524",56.1950525937077,5,7.4086231845465e-11
"Kruskal-Wallis chi-squared.525",38.0255173371457,5,3.72896449588867e-07
"Kruskal-Wallis chi-squared.526",52.4929270694275,5,4.27416735564407e-10
"Kruskal-Wallis chi-squared.527",66.2238093434701,5,6.2451648029407e-13
"Kruskal-Wallis chi-squared.528",43.6803572837472,5,2.68937773537462e-08
"Kruskal-Wallis chi-squared.529",52.9501310240283,5,3.44358071711255e-10
"Kruskal-Wallis chi-squared.530",56.7535957180233,5,5.68421381590539e-11
"Kruskal-Wallis chi-squared.531",42.145644384692,5,5.50388877643122e-08
"Kruskal-Wallis chi-squared.532",46.6096679532374,5,6.82360784236283e-09
"Kruskal-Wallis chi-squared.533",50.022249994477,5,1.37134484201669e-09
"Kruskal-Wallis chi-squared.534",50.0506983038936,5,1.3530850325711e-09
"Kruskal-Wallis chi-squared.535",51.9025733518902,5,5.6487713383627e-10
"Kruskal-Wallis chi-squared.536",52.6530352760236,5,3.96272953262804e-10
"Kruskal-Wallis chi-squared.537",47.7516955803192,5,3.99154921876931e-09
"Kruskal-Wallis chi-squared.538",48.5470555623934,5,2.74634545642524e-09
"Kruskal-Wallis chi-squared.539",49.8904670683124,5,1.45919001792996e-09
"Kruskal-Wallis chi-squared.540",47.3868718236799,5,4.73774015047194e-09
"Kruskal-Wallis chi-squared.541",50.5000249319106,5,1.09483948777249e-09
"Kruskal-Wallis chi-squared.542",51.0940078730135,5,8.27356212541308e-10
"Kruskal-Wallis chi-squared.543",56.551270738458,5,6.2568942347398e-11
"Kruskal-Wallis chi-squared.544",58.4192178217926,5,2.57742500110073e-11
"Kruskal-Wallis chi-squared.545",47.458373545244,5,4.58127694588192e-09
"Kruskal-Wallis chi-squared.546",54.1219723245273,5,1.97827056437266e-10
"Kruskal-Wallis chi-squared.547",51.5999846937004,5,6.51621687907337e-10
"Kruskal-Wallis chi-squared.548",49.8650794402208,5,1.4767471366239e-09
"Kruskal-Wallis chi-squared.549",49.7254578477134,5,1.57713841551507e-09
"Kruskal-Wallis chi-squared.550",41.6957423239696,5,6.78731964463742e-08
"Kruskal-Wallis chi-squared.551",45.7668462921409,5,1.01308515483969e-08
"Kruskal-Wallis chi-squared.552",54.4215081912373,5,1.7167529306273e-10
"Kruskal-Wallis chi-squared.553",51.9450631661002,5,5.53656511813482e-10
"Kruskal-Wallis chi-squared.554",42.4063742058871,5,4.87399678093365e-08
"Kruskal-Wallis chi-squared.555",48.4196009526725,5,2.91600430683378e-09
"Kruskal-Wallis chi-squared.556",60.1847952164395,5,1.11313953577842e-11
"Kruskal-Wallis chi-squared.557",44.5314750118084,5,1.8065452568273e-08
"Kruskal-Wallis chi-squared.558",57.8528201988452,5,3.37322521110591e-11
"Kruskal-Wallis chi-squared.559",54.9196749068209,5,1.35598642963257e-10
"Kruskal-Wallis chi-squared.560",55.9656150029087,5,8.26013834814689e-11
"Kruskal-Wallis chi-squared.561",35.7309695883289,5,1.07506373271492e-06
"Kruskal-Wallis chi-squared.562",64.4730816367536,5,1.44139074486191e-12
"Kruskal-Wallis chi-squared.563",50.9601107313466,5,8.81300746745445e-10
"Kruskal-Wallis chi-squared.564",53.8353752252551,5,2.26561609593128e-10
"Kruskal-Wallis chi-squared.565",51.2031267456283,5,7.85840143117868e-10
"Kruskal-Wallis chi-squared.566",49.7313062743205,5,1.57279977643067e-09
"Kruskal-Wallis chi-squared.567",48.8214282408065,5,2.41379123667099e-09
"Kruskal-Wallis chi-squared.568",59.0314904759049,5,1.92662649825263e-11
"Kruskal-Wallis chi-squared.569",49.2781183560929,5,1.94694704832722e-09
"Kruskal-Wallis chi-squared.570",37.5316598971796,5,4.68543757249647e-07
"Kruskal-Wallis chi-squared.571",49.7335409940574,5,1.57114510124401e-09
"Kruskal-Wallis chi-squared.572",52.7908132221181,5,3.71291873777788e-10
"Kruskal-Wallis chi-squared.573",53.7672012825732,5,2.33988613168518e-10
"Kruskal-Wallis chi-squared.574",64.4916768971659,5,1.42865033708976e-12
"Kruskal-Wallis chi-squared.575",53.3466200429418,5,2.85492235773109e-10
"Kruskal-Wallis chi-squared.576",54.5391821281332,5,1.62372185578711e-10
"Kruskal-Wallis chi-squared.577",49.1324878575284,5,2.08509599088789e-09
"Kruskal-Wallis chi-squared.578",57.7752584450272,5,3.49980130514042e-11
"Kruskal-Wallis chi-squared.579",56.0390285917468,5,7.97755508040015e-11
"Kruskal-Wallis chi-squared.580",46.8861302834348,5,5.99338929761261e-09
"Kruskal-Wallis chi-squared.581",50.1332475444171,5,1.30146151945595e-09
"Kruskal-Wallis chi-squared.582",43.6376875810681,5,2.743526716895e-08
"Kruskal-Wallis chi-squared.583",39.5458483634883,5,1.84378396608422e-07
"Kruskal-Wallis chi-squared.584",64.6031897591914,5,1.354572848982e-12
"Kruskal-Wallis chi-squared.585",57.1629397142192,5,4.68061444263153e-11
"Kruskal-Wallis chi-squared.586",52.4154769306189,5,4.43346900027767e-10
"Kruskal-Wallis chi-squared.587",34.3841725498612,5,1.99637862601379e-06
"Kruskal-Wallis chi-squared.588",52.382759478597,5,4.50253027655776e-10
"Kruskal-Wallis chi-squared.589",58.3476094295221,5,2.66663439899352e-11
"Kruskal-Wallis chi-squared.590",48.9630113540131,5,2.25822013180232e-09
"Kruskal-Wallis chi-squared.591",57.6778109151273,5,3.66557044120925e-11
"Kruskal-Wallis chi-squared.592",50.2782231332364,5,1.21550860407161e-09
"Kruskal-Wallis chi-squared.593",52.0039026855981,5,5.38484558458176e-10
"Kruskal-Wallis chi-squared.594",48.2149078623885,5,3.21061813097695e-09
"Kruskal-Wallis chi-squared.595",41.1117683878101,5,8.90739699563885e-08
"Kruskal-Wallis chi-squared.596",46.2941972292967,5,7.91187915574441e-09
"Kruskal-Wallis chi-squared.597",59.5167463541026,5,1.52961424874312e-11
"Kruskal-Wallis chi-squared.598",51.4172188506284,5,7.10328216400635e-10
"Kruskal-Wallis chi-squared.599",40.0145287290301,5,1.48332732798041e-07
"Kruskal-Wallis chi-squared.600",46.6741117349349,5,6.62037553794303e-09
"Kruskal-Wallis chi-squared.601",42.5880565102269,5,4.47806754436152e-08
"Kruskal-Wallis chi-squared.602",47.9778209089311,5,3.58914340999492e-09
"Kruskal-Wallis chi-squared.603",45.0023854683781,5,1.44925792045284e-08
"Kruskal-Wallis chi-squared.604",38.1528778999126,5,3.51559893828939e-07
"Kruskal-Wallis chi-squared.605",51.7169465983721,5,6.16618550110097e-10
"Kruskal-Wallis chi-squared.606",51.880784439963,5,5.70718816198239e-10
"Kruskal-Wallis chi-squared.607",39.6120874531475,5,1.78798154257902e-07
"Kruskal-Wallis chi-squared.608",54.113147953532,5,1.98655001126182e-10
"Kruskal-Wallis chi-squared.609",57.1059882872619,5,4.80886598066002e-11
"Kruskal-Wallis chi-squared.610",43.426633434639,5,3.02776562631662e-08
"Kruskal-Wallis chi-squared.611",49.2405153015657,5,1.98171870613802e-09
"Kruskal-Wallis chi-squared.612",51.4434577404115,5,7.01586231931617e-10
"Kruskal-Wallis chi-squared.613",41.9279908035965,5,6.09138419535485e-08
"Kruskal-Wallis chi-squared.614",56.9425233197523,5,5.19679422158439e-11
"Kruskal-Wallis chi-squared.615",49.9181543758659,5,1.44027981024674e-09
"Kruskal-Wallis chi-squared.616",44.6414031195396,5,1.71598723825813e-08
"Kruskal-Wallis chi-squared.617",48.4933678487758,5,2.81657649525502e-09
"Kruskal-Wallis chi-squared.618",43.9182932897393,5,2.40638917868326e-08
"Kruskal-Wallis chi-squared.619",45.3103579990932,5,1.25464554614623e-08
"Kruskal-Wallis chi-squared.620",55.7649943350912,5,9.08435930783747e-11
"Kruskal-Wallis chi-squared.621",45.6724068971974,5,1.05892470603057e-08
"Kruskal-Wallis chi-squared.622",52.8782321276598,5,3.56262851953141e-10
"Kruskal-Wallis chi-squared.623",47.8753428137712,5,3.7662363069968e-09
"Kruskal-Wallis chi-squared.624",46.3150286296181,5,7.83496143016955e-09
"Kruskal-Wallis chi-squared.625",56.6385327938783,5,6.00315695916517e-11
"Kruskal-Wallis chi-squared.626",44.2717570369529,5,2.03987221503172e-08
"Kruskal-Wallis chi-squared.627",52.1830894319206,5,4.94788759305914e-10
"Kruskal-Wallis chi-squared.628",60.8568262940136,5,8.08385931428276e-12
"Kruskal-Wallis chi-squared.629",53.6142123462402,5,2.51551780001361e-10
"Kruskal-Wallis chi-squared.630",38.2724095271458,5,3.32642263368722e-07
"Kruskal-Wallis chi-squared.631",40.8295546235019,5,1.01568458954799e-07
"Kruskal-Wallis chi-squared.632",57.0447783952897,5,4.95062047727257e-11
"Kruskal-Wallis chi-squared.633",51.1818266885057,5,7.93777493080686e-10
"Kruskal-Wallis chi-squared.634",43.1670190797495,5,3.41795762068993e-08
"Kruskal-Wallis chi-squared.635",43.5564041872986,5,2.84970209801204e-08
"Kruskal-Wallis chi-squared.636",44.7191291399333,5,1.65470197497278e-08
"Kruskal-Wallis chi-squared.637",43.7754074053034,5,2.57255550878863e-08
"Kruskal-Wallis chi-squared.638",58.1888247181485,5,2.87559524925217e-11
"Kruskal-Wallis chi-squared.639",44.5967165620473,5,1.75224061192123e-08
"Kruskal-Wallis chi-squared.640",49.0730894739998,5,2.1442115256008e-09
"Kruskal-Wallis chi-squared.641",31.9648233358476,5,6.03731563828954e-06
"Kruskal-Wallis chi-squared.642",54.1323886558755,5,1.96854176520599e-10
"Kruskal-Wallis chi-squared.643",48.914775523386,5,2.31006471095956e-09
"Kruskal-Wallis chi-squared.644",46.6868992803409,5,6.58077172559856e-09
"Kruskal-Wallis chi-squared.645",42.0312902316354,5,5.8051489286128e-08
"Kruskal-Wallis chi-squared.646",48.4557681605826,5,2.86682589627334e-09
"Kruskal-Wallis chi-squared.647",57.5634778016578,5,3.87008163971293e-11
"Kruskal-Wallis chi-squared.648",42.6429807729734,5,4.3648081674592e-08
"Kruskal-Wallis chi-squared.649",53.2752191009994,5,2.95296576756041e-10
"Kruskal-Wallis chi-squared.650",50.3167907476312,5,1.19361222253913e-09
"Kruskal-Wallis chi-squared.651",58.5152075713058,5,2.46249702114869e-11
"Kruskal-Wallis chi-squared.652",53.1813509834429,5,3.08698922041473e-10
"Kruskal-Wallis chi-squared.653",40.8985858767564,5,9.83596391856238e-08
"Kruskal-Wallis chi-squared.654",43.665530055576,5,2.70807203148805e-08
"Kruskal-Wallis chi-squared.655",50.611648409565,5,1.03871006081487e-09
"Kruskal-Wallis chi-squared.656",57.2771319676537,5,4.43365388862336e-11
"Kruskal-Wallis chi-squared.657",47.7227328529996,5,4.04623983775342e-09
"Kruskal-Wallis chi-squared.658",44.5423385395791,5,1.79738782272957e-08
"Kruskal-Wallis chi-squared.659",48.1523776837308,5,3.30640331714672e-09
"Kruskal-Wallis chi-squared.660",58.6407103911364,5,2.3199147617131e-11
"Kruskal-Wallis chi-squared.661",56.2586484274486,5,7.18851103324345e-11
"Kruskal-Wallis chi-squared.662",52.3857569885618,5,4.49615860272762e-10
"Kruskal-Wallis chi-squared.663",30.0120902934917,5,1.46679857956566e-05
"Kruskal-Wallis chi-squared.664",53.6281811592602,5,2.49895022587646e-10
"Kruskal-Wallis chi-squared.665",54.1262918569435,5,1.97423033437087e-10
"Kruskal-Wallis chi-squared.666",56.6314906337018,5,6.02324723354143e-11
"Kruskal-Wallis chi-squared.667",40.3579528587013,5,1.26462210275979e-07
"Kruskal-Wallis chi-squared.668",43.8525855022518,5,2.4814306154517e-08
"Kruskal-Wallis chi-squared.669",56.2903376748521,5,7.08127980410611e-11
"Kruskal-Wallis chi-squared.670",42.6365107843664,5,4.37800018589131e-08
"Kruskal-Wallis chi-squared.671",50.4468184988465,5,1.12264904729225e-09
"Kruskal-Wallis chi-squared.672",49.1111252076344,5,2.10616734692851e-09
"Kruskal-Wallis chi-squared.673",46.9427546500118,5,5.83620001406803e-09
"Kruskal-Wallis chi-squared.674",44.7765706840707,5,1.61081718977566e-08
"Kruskal-Wallis chi-squared.675",55.9516401410073,5,8.31505146853012e-11
"Kruskal-Wallis chi-squared.676",46.0387950523307,5,8.918425194243e-09
"Kruskal-Wallis chi-squared.677",52.1197275057885,5,5.09820105483189e-10
"Kruskal-Wallis chi-squared.678",44.9773917013557,5,1.4663134489453e-08
"Kruskal-Wallis chi-squared.679",51.447496078747,5,7.00250347144906e-10
"Kruskal-Wallis chi-squared.680",40.101929540527,5,1.42432931197221e-07
"Kruskal-Wallis chi-squared.681",44.6182923429579,5,1.73464223828595e-08
"Kruskal-Wallis chi-squared.682",42.8067649110183,5,4.04373939474341e-08
"Kruskal-Wallis chi-squared.683",45.735248566941,5,1.02819765789694e-08
"Kruskal-Wallis chi-squared.684",55.0387306711943,5,1.28163113686892e-10
"Kruskal-Wallis chi-squared.685",48.838199053429,5,2.39481927117887e-09
"Kruskal-Wallis chi-squared.686",53.781521246301,5,2.32408674376475e-10
"Kruskal-Wallis chi-squared.687",53.703338035681,5,2.41166222496392e-10
"Kruskal-Wallis chi-squared.688",41.3431300488434,5,7.99823688043242e-08
"Kruskal-Wallis chi-squared.689",50.9426497150714,5,8.88589308506559e-10
"Kruskal-Wallis chi-squared.690",41.1254921422402,5,8.85070479395094e-08
"Kruskal-Wallis chi-squared.691",51.4680327670528,5,6.93495963695516e-10
"Kruskal-Wallis chi-squared.692",48.3775675923032,5,2.97421729339085e-09
"Kruskal-Wallis chi-squared.693",50.5944720589025,5,1.04715645111498e-09
"Kruskal-Wallis chi-squared.694",54.4757341500901,5,1.67323979605226e-10
"Kruskal-Wallis chi-squared.695",47.8044210484236,5,3.89387285761303e-09
"Kruskal-Wallis chi-squared.696",49.2530710959205,5,1.97003998476864e-09
"Kruskal-Wallis chi-squared.697",45.9681698925613,5,9.21863486527476e-09
"Kruskal-Wallis chi-squared.698",44.9997188059193,5,1.45106816220006e-08
