"","chi","df","p_value"
"Kruskal-Wallis chi-squared.80",54.8343314513423,5,1.41192149652141e-10
"Kruskal-Wallis chi-squared.81",55.4871591192408,5,1.036302348926e-10
"Kruskal-Wallis chi-squared.82",51.9294742522794,5,5.57747137100976e-10
"Kruskal-Wallis chi-squared.83",55.3367938720099,5,1.11284001924956e-10
"Kruskal-Wallis chi-squared.84",45.8598485780921,5,9.69877316603437e-09
"Kruskal-Wallis chi-squared.85",53.0566109012412,5,3.27452830834896e-10
"Kruskal-Wallis chi-squared.86",51.5698611071662,5,6.60953363177099e-10
"Kruskal-Wallis chi-squared.87",41.5002290159048,5,7.43421501641519e-08
"Kruskal-Wallis chi-squared.88",48.2652272433197,5,3.13555123921004e-09
"Kruskal-Wallis chi-squared.89",52.4548231149319,5,4.35181391081994e-10
"Kruskal-Wallis chi-squared.90",57.6570707740148,5,3.70185088654821e-11
"Kruskal-Wallis chi-squared.91",43.6377172994848,5,2.74348862780403e-08
"Kruskal-Wallis chi-squared.92",55.3867468485328,5,1.08680730058467e-10
"Kruskal-Wallis chi-squared.93",63.4635303480264,5,2.33366190172219e-12
"Kruskal-Wallis chi-squared.94",49.3170029844655,5,1.91163022442036e-09
"Kruskal-Wallis chi-squared.95",50.528950734755,5,1.08001021537276e-09
"Kruskal-Wallis chi-squared.96",51.5200884925031,5,6.76664934339407e-10
"Kruskal-Wallis chi-squared.97",58.2874777637865,5,2.74392236492225e-11
"Kruskal-Wallis chi-squared.98",46.0730303527602,5,8.77642750062676e-09
"Kruskal-Wallis chi-squared.99",44.84896627249,5,1.55715664068939e-08
"Kruskal-Wallis chi-squared.100",54.6034944650106,5,1.57502161204036e-10
"Kruskal-Wallis chi-squared.101",59.1847284683496,5,1.79124525066595e-11
"Kruskal-Wallis chi-squared.102",40.2454844838305,5,1.3324559384584e-07
"Kruskal-Wallis chi-squared.103",49.6275140991532,5,1.65159758229687e-09
"Kruskal-Wallis chi-squared.104",44.7854914163744,5,1.60410671228371e-08
"Kruskal-Wallis chi-squared.105",50.5780650207398,5,1.05528850782202e-09
"Kruskal-Wallis chi-squared.106",43.6806820823721,5,2.68896966942638e-08
"Kruskal-Wallis chi-squared.107",38.6080666302682,5,2.84767879749607e-07
"Kruskal-Wallis chi-squared.108",46.8694936507787,5,6.04036992374235e-09
"Kruskal-Wallis chi-squared.109",46.5442333647875,5,7.03633029845377e-09
"Kruskal-Wallis chi-squared.110",53.2813495632708,5,2.94441755943216e-10
"Kruskal-Wallis chi-squared.111",47.0613740533501,5,5.5201127731605e-09
"Kruskal-Wallis chi-squared.112",50.1282300237011,5,1.30454245511866e-09
"Kruskal-Wallis chi-squared.113",52.80333808828,5,3.69100391169978e-10
"Kruskal-Wallis chi-squared.114",44.2841859625979,5,2.0280509151481e-08
"Kruskal-Wallis chi-squared.115",44.3619427533877,5,1.95562994107664e-08
"Kruskal-Wallis chi-squared.116",45.9037488336178,5,9.50124997003169e-09
"Kruskal-Wallis chi-squared.117",56.7120531586206,5,5.79736636949975e-11
"Kruskal-Wallis chi-squared.118",42.4793327610566,5,4.71097558242928e-08
"Kruskal-Wallis chi-squared.119",44.3032386762313,5,2.01006209115228e-08
"Kruskal-Wallis chi-squared.120",48.0652700588793,5,3.44460515321346e-09
"Kruskal-Wallis chi-squared.121",46.8226620547891,5,6.17459996780638e-09
"Kruskal-Wallis chi-squared.122",49.2953882803188,5,1.93118207474511e-09
"Kruskal-Wallis chi-squared.123",51.979137355892,5,5.44819156020889e-10
"Kruskal-Wallis chi-squared.124",34.9572594465116,5,1.5344926034449e-06
"Kruskal-Wallis chi-squared.125",49.9105895923475,5,1.44542209118999e-09
"Kruskal-Wallis chi-squared.126",41.4078662282017,5,7.76083087134106e-08
"Kruskal-Wallis chi-squared.127",47.8134934235511,5,3.87730787871507e-09
"Kruskal-Wallis chi-squared.128",35.8307630321831,5,1.02679250966053e-06
"Kruskal-Wallis chi-squared.129",61.165608007246,5,6.9784410378327e-12
"Kruskal-Wallis chi-squared.130",49.635732372245,5,1.64521733785038e-09
"Kruskal-Wallis chi-squared.131",51.6245094883277,5,6.44121559573964e-10
"Kruskal-Wallis chi-squared.132",48.5708605927483,5,2.71576668235835e-09
"Kruskal-Wallis chi-squared.133",49.0115115996503,5,2.20726145155004e-09
"Kruskal-Wallis chi-squared.134",51.6901208619076,5,6.24477128486169e-10
"Kruskal-Wallis chi-squared.135",45.7054410476031,5,1.04265990103208e-08
"Kruskal-Wallis chi-squared.136",40.1992216404777,5,1.36139987564667e-07
"Kruskal-Wallis chi-squared.137",50.781769460829,5,9.58637885445603e-10
"Kruskal-Wallis chi-squared.138",56.9694066520862,5,5.13091430977001e-11
"Kruskal-Wallis chi-squared.139",53.8502949750102,5,2.24967860178408e-10
"Kruskal-Wallis chi-squared.140",49.0972816853551,5,2.11993537951859e-09
"Kruskal-Wallis chi-squared.141",47.8911520120682,5,3.73835841190584e-09
"Kruskal-Wallis chi-squared.142",41.0204530559474,5,9.29393972715941e-08
"Kruskal-Wallis chi-squared.143",44.9040614292823,5,1.51751682257584e-08
"Kruskal-Wallis chi-squared.144",40.4934474836128,5,1.18745382194671e-07
"Kruskal-Wallis chi-squared.145",44.0839136051437,5,2.22712772479684e-08
"Kruskal-Wallis chi-squared.146",45.2933900981391,5,1.26465511465188e-08
"Kruskal-Wallis chi-squared.147",53.8760953472006,5,2.22238182229904e-10
"Kruskal-Wallis chi-squared.148",46.7958117546069,5,6.25289631502829e-09
"Kruskal-Wallis chi-squared.149",53.7109828222291,5,2.40295577736551e-10
"Kruskal-Wallis chi-squared.150",48.6416958327942,5,2.62676925500154e-09
"Kruskal-Wallis chi-squared.151",53.846351946004,5,2.25387969439769e-10
"Kruskal-Wallis chi-squared.152",42.5524985561584,5,4.55294859138335e-08
"Kruskal-Wallis chi-squared.153",52.2918342206779,5,4.70014706127139e-10
"Kruskal-Wallis chi-squared.154",58.3792756385778,5,2.62681086549885e-11
"Kruskal-Wallis chi-squared.155",57.4099562481788,5,4.16271445308754e-11
"Kruskal-Wallis chi-squared.156",47.4967390218065,5,4.49945921771238e-09
