"","a","b","sigma","WAIC"
"Number.860",0.219696903363304,-0.0063698350432485,0.0420149227528242,-372.351891300024
"Number.861",0.223166582545754,-0.00795674683766858,0.0438391232683054,-363.102803626833
"Number.862",0.220905722172709,-0.00735466438912025,0.0433026853645984,-366.058384188954
"Number.863",0.225041399044413,-0.00936960466195891,0.0465164807945881,-349.594550920022
"Number.864",0.22317205262149,-0.00462857041121021,0.048053859505952,-343.158179617273
"Number.865",0.21900892030146,-0.00578556246204267,0.0446988574003913,-358.806434788999
"Number.866",0.218541021267738,-0.00570711600928125,0.0417739591309871,-373.827903232107
"Number.867",0.220597762695428,-0.00646428876494313,0.0418044706962125,-372.284540546626
"Number.868",0.221294173900333,-0.00753842432430532,0.0438422752674594,-362.307561379123
"Number.869",0.222900692845599,-0.00557013096155511,0.0450624681813305,-356.105746978409
"Number.870",0.221482521040406,-0.00605531201179381,0.0379331700311921,-393.932345371291
"Number.871",0.226596606021838,-0.00863359761446029,0.0452913242843093,-355.832528611382
"Number.872",0.222872557753988,-0.00570128409004056,0.0445929793297977,-359.287316760522
"Number.873",0.220299407871802,-0.00881886570231424,0.0429204181992788,-367.409876620822
"Number.874",0.221017341088181,-0.00567064004559519,0.045044137799885,-356.463071375572
"Number.875",0.224441849176322,-0.00767083389097447,0.0455164497301827,-355.242427658583
"Number.876",0.222979672915187,-0.00877285335664828,0.0446947274492303,-358.519892216875
"Number.877",0.219145775563256,-0.00530124075185453,0.0402595432273891,-380.818805782401
"Number.878",0.223163378048273,-0.00812237171172161,0.0401003859863696,-380.822293452535
"Number.879",0.216662991960599,-0.00618497024433855,0.0414467255254982,-374.864741487676
"Number.880",0.222859452578875,-0.00934340632108871,0.0406994666733524,-378.673818524106
"Number.881",0.218085438611568,-0.00666571292552983,0.0435441410027937,-364.39107033566
"Number.882",0.228782089272031,-0.00813574197741718,0.0479881831529163,-344.107412524273
"Number.883",0.219414180163725,-0.00622098539830098,0.043130786126948,-366.345871744114
"Number.884",0.22047043302684,-0.00465382597876585,0.0422871371439211,-370.09340685699
"Number.885",0.220706674888502,-0.00668305887347713,0.0469550265093546,-347.281016256906
"Number.886",0.218685018380743,-0.00443284790519325,0.0438531040665614,-362.302287530097
"Number.887",0.220633866770195,-0.00556691531131641,0.0443576925888339,-360.197148278502
"Number.888",0.224439173389762,-0.00637605800943348,0.0481156958623739,-341.967762745751
"Number.889",0.225099634276678,-0.00629291170093461,0.0418837132357436,-372.964119451332
"Number.890",0.225819167683356,-0.00646223330824322,0.0428240433897401,-368.101351696411
"Number.891",0.220457639698655,-0.00685033460355384,0.0462612166324545,-351.917653798234
"Number.892",0.222563827929582,-0.0061366294474169,0.0446377165887589,-358.656011283401
"Number.893",0.215901116154709,-0.00640604245655213,0.0447850110278452,-357.37755779596
"Number.894",0.221539228132112,-0.00754648492272629,0.044162697051534,-361.660771615615
"Number.895",0.224858627616178,-0.00798787757661171,0.0412147900525279,-375.820105738845
"Number.896",0.224106527455072,-0.0108538098120816,0.0419405650789066,-372.423683428178
"Number.897",0.224801228464721,-0.00701786966005935,0.0415488215833285,-375.057094248507
"Number.898",0.219298888795621,-0.00786655302688764,0.0432679078110942,-365.893066030447
"Number.899",0.222195070420769,-0.00668054717160842,0.0430297090497644,-366.603231404988
"Number.900",0.223035520482222,-0.00854798053588209,0.0403949949580345,-380.477106655593
"Number.901",0.223083630524527,-0.00794846335285926,0.0452579618047688,-356.006563586947
"Number.902",0.21624788040041,-0.00683210529617608,0.0427567561963296,-368.322756835981
"Number.903",0.219970570239695,-0.00538850734802453,0.0497557967672941,-335.749637324325
"Number.904",0.219284200480264,-0.00665880399718822,0.0425017222231121,-369.869196709436
"Number.905",0.225496380879395,-0.00721361615897922,0.0416964105530098,-373.27714316042
"Number.906",0.224899701901838,-0.00470181160124788,0.0483283473723938,-341.991290819415
"Number.907",0.22254035099774,-0.00740603340210425,0.0399135508744406,-383.719354557857
"Number.908",0.225248225114448,-0.006632305327097,0.0426765865149373,-368.251770105182
"Number.909",0.223624992461712,-0.00788854615354141,0.0441611374931369,-361.712003625122
"Number.910",0.224998546952051,-0.00762037477225564,0.0477655944766907,-344.774356562253
