"","a","b","sigma","WAIC"
"Number.112",0.222080507305196,-0.00669330683136289,0.0471316806084715,-347.144923973134
"Number.113",0.225975374509466,-0.00877531845677944,0.0448004749959684,-358.928994238377
"Number.114",0.222352360645752,-0.00384601125685937,0.0433067339952427,-365.458855528939
"Number.115",0.217658179390771,-0.00554434680152659,0.0432555568954944,-365.766678152304
"Number.116",0.2230301535457,-0.00666242415676012,0.0427679397942187,-368.471487833739
"Number.117",0.221332105275777,-0.00664925971120481,0.0454071388974925,-355.32075620741
"Number.118",0.220608459632016,-0.00976963798321772,0.0447679317461693,-358.172979176042
"Number.119",0.223434399060667,-0.0100581855386172,0.0466108574222347,-349.690922948706
"Number.120",0.219185603593573,-0.00795972160265151,0.0436061223775034,-364.720138787341
"Number.121",0.222178668247388,-0.00524812356473002,0.0438355245160772,-362.797245950413
"Number.122",0.220699634599034,-0.00759166503410064,0.0441693365139751,-361.704116361442
"Number.123",0.221665158759897,-0.00827537318179321,0.0362922795790909,-403.816489510938
"Number.124",0.219620438412916,-0.00877515637683794,0.0445281847406974,-358.750910638728
"Number.125",0.218082358990559,-0.00985490373465193,0.044104530568549,-361.635883345348
"Number.126",0.218731281014665,-0.00844773272687458,0.0449769226449511,-357.141284587741
"Number.127",0.217425521836973,-0.00687345212601259,0.044066922034741,-361.93563196406
"Number.128",0.220548951632115,-0.00638695172890956,0.0442155394567339,-361.377563408771
"Number.129",0.218997014411853,-0.0058776282817467,0.0416379628440413,-373.576556533885
"Number.130",0.220478612186147,-0.0101260648860787,0.0399753920251266,-382.234110454698
"Number.131",0.217479401930303,-0.00596577392541279,0.0413639074681718,-375.35540741238
"Number.132",0.219684543975111,-0.00715189358484831,0.0442939848734758,-360.165221378932
"Number.133",0.215890620717761,-0.00674615813051841,0.0413382982595959,-375.56339950338
"Number.134",0.216194918506498,-0.00686609783251072,0.0408669988852287,-378.488829452703
"Number.135",0.223746042520769,-0.00709818286359898,0.0427926865567247,-368.617368330069
"Number.136",0.216705061347174,-0.00633892795239843,0.0366634276698905,-400.995455080983
"Number.137",0.221156814847334,-0.00629136890233959,0.044132514612251,-360.928681885427
"Number.138",0.214868715064854,-0.005360342848325,0.0406569433143826,-379.47701913566
"Number.139",0.226358702677045,-0.00950852085017947,0.0423117857931842,-370.595095990359
"Number.140",0.21777114986612,-0.00553652827927407,0.0406712174993078,-379.255176648877
"Number.141",0.219980568161165,-0.00954400989002856,0.0386009887231687,-390.571197435619
"Number.142",0.215608426671146,-0.00457912004197322,0.0437571466941586,-361.855777455907
"Number.143",0.220448032548541,-0.00717353920405664,0.0412265535961653,-375.868555299341
"Number.144",0.219106102596877,-0.00583936412272102,0.0460571724260664,-352.357470857795
"Number.145",0.221845623979848,-0.00430956078090928,0.0413475639478567,-375.80031987624
"Number.146",0.218953198249326,-0.00519840746904928,0.0384389463702089,-391.246655932202
"Number.147",0.219569999178485,-0.00776368536454238,0.0436282021271857,-363.834029975655
"Number.148",0.223606743398581,-0.00543204610125709,0.0433229994311136,-365.738295076513
"Number.149",0.224772695836664,-0.00929910853402127,0.0398978494247333,-383.583174633747
"Number.150",0.225742081676562,-0.00718685344940646,0.0369254541377719,-399.700949555319
"Number.151",0.222056495507248,-0.00465163840127997,0.046548319606028,-349.631799892471
"Number.152",0.216527769053506,-0.00599535027970433,0.038572192473571,-390.765032830707
"Number.153",0.219476322263705,-0.00667890043945676,0.0433321118363477,-365.258384930146
"Number.154",0.221550168775972,-0.00649673069972745,0.0433793483930743,-365.004757323341
"Number.155",0.217449151724294,-0.0058490518988557,0.0456988932442568,-354.448049176961
"Number.156",0.224177605051971,-0.00786743533307828,0.0440670067890708,-362.095283718207
"Number.157",0.222005788189579,-0.00572232288895745,0.044571961778252,-359.156819443059
"Number.158",0.224094412124991,-0.00629456869258433,0.0448898301675983,-357.25720358027
"Number.159",0.219266964334451,-0.00689016757579418,0.0433097435269604,-365.851203801482
"Number.160",0.221745534323372,-0.00516125244221809,0.0448913706593748,-357.875344684838
"Number.161",0.22038304816221,-0.00548963094457016,0.0413910271344358,-375.197537410765
"Number.162",0.221229857945625,-0.00438040305686423,0.0449821873586923,-357.878114707848
"Number.163",0.224250925394372,-0.00691510419278097,0.0455758639497821,-353.957803562487
"Number.164",0.22253841648546,-0.00963681666210996,0.0388117818107199,-389.378178788026
"Number.165",0.223162153472426,-0.0064080098276734,0.0446113365891531,-359.374897663972
"Number.166",0.228524904935304,-0.00625214806540096,0.0479957826580927,-342.491749908408
"Number.167",0.221803588178527,-0.00527519082788652,0.0476657105825818,-344.112469647569
"Number.168",0.218719094012398,-0.00740476537431545,0.0406656697632784,-379.392254253977
"Number.169",0.221932332331189,-0.00721847257292055,0.0393150922622345,-386.620996889616
"Number.170",0.220473327325281,-0.0074611099384295,0.0443310736004976,-360.411162191966
"Number.171",0.218328552192822,-0.00735478261121106,0.0449112474772449,-357.284448820752
"Number.172",0.217430040144538,-0.00629914532229641,0.0451100262732763,-356.485974071342
"Number.173",0.220894654460741,-0.00620395040700311,0.0466172488680751,-349.084457283423
"Number.174",0.220341818485119,-0.00667227579655936,0.0438869212172276,-361.544927012604
"Number.175",0.219107740178742,-0.0060916028001719,0.0412983332817164,-376.209583711545
"Number.176",0.216565805381409,-0.00521659938997937,0.0429338378526367,-367.844878098843
"Number.177",0.221400610209962,-0.00602003038832083,0.0449678590669305,-357.354714460377
"Number.178",0.217707375299349,-0.00242023697077821,0.0464275651207347,-350.749728970111
"Number.179",0.218731712164634,-0.00542094585357874,0.0401066499410216,-381.774043298746
"Number.180",0.222467627511888,-0.00494064745002312,0.0425141914870528,-369.376857794079
"Number.181",0.217148767241583,-0.0056581820612886,0.04329900239995,-364.90838960323
"Number.182",0.223052546466626,-0.0060590782439399,0.046767030030602,-348.921665282469
"Number.183",0.220776493868021,-0.00711149860899121,0.0434855507547785,-365.144573607184
"Number.184",0.223656957325521,-0.00781585983210416,0.0462195664434869,-351.370333401066
"Number.185",0.217399011422454,-0.00628190483825698,0.0437135224470557,-363.074468922589
"Number.186",0.221539012468879,-0.00574375679209276,0.0442993071839946,-359.47340102416
"Number.187",0.216544306623744,-0.00709347774985424,0.0427166338612629,-368.655193957541
"Number.188",0.222338450834793,-0.00836521617887578,0.0404485403275952,-380.361332903527
"Number.189",0.220315262674437,-0.00715794514427964,0.040748202248461,-378.408356706195
"Number.190",0.216208256448195,-0.00427477448392826,0.046879064488425,-348.447167694565
"Number.191",0.22031101925942,-0.00649261218333399,0.0416825647370655,-373.829547794563
"Number.192",0.220083271768789,-0.00526804159325487,0.0405212824041738,-380.080996642543
"Number.193",0.22057988923598,-0.00759992289928674,0.0444547897591491,-360.375913055116
"Number.194",0.2233306788804,-0.00726909744918106,0.0408131790529364,-378.56600529696
"Number.195",0.218148491172802,-0.00636381973158901,0.0450091829608471,-356.956565733367
"Number.196",0.223150136903267,-0.00827410209055044,0.0438699228732597,-363.237459199576
"Number.197",0.223418683174323,-0.00718403107640762,0.0445819988995291,-359.145156646658
"Number.198",0.222326891966548,-0.00674624294374055,0.04305426392848,-366.895178378967
"Number.199",0.225059911613152,-0.00650972452213183,0.0417821312196964,-373.412535149588
"Number.200",0.22011144917843,-0.0066662039384005,0.0436184532118638,-363.25096330749
"Number.201",0.224189774812745,-0.00574353694365916,0.0451213132679236,-357.189856286416
"Number.202",0.220967113672462,-0.00777002899139617,0.0383961675365444,-391.540397548847
"Number.203",0.218120558545184,-0.00247373031722194,0.0493683618829253,-337.402935485716
"Number.204",0.223966813081962,-0.00815925781414646,0.0434758137696531,-364.752412928646
"Number.205",0.217094841379107,-0.00403551217341499,0.0450785758705031,-357.360425068995
"Number.206",0.223503076668588,-0.00811484887276442,0.0421022945368519,-371.588352102229
"Number.207",0.224712223451588,-0.00805742135779551,0.0449487170236168,-357.189540507931
"Number.208",0.218169439195776,-0.00671409083875461,0.0394412009790092,-385.508165512267
"Number.209",0.22162050683601,-0.00917040752576976,0.0472223686830329,-346.8334973969
"Number.210",0.219756273007873,-0.00961543101570176,0.0405901847950044,-379.300950392434
"Number.211",0.225258924735208,-0.00889363654241872,0.042196166572023,-371.213302015945
"Number.212",0.220690763013679,-0.0061079082364991,0.0448260162101583,-357.943796303987
"Number.213",0.213148500266795,-0.0062017003529207,0.0420108417433905,-372.235764300426
"Number.214",0.222112842640767,-0.00931370861805483,0.0399643507008205,-382.590883486543
"Number.215",0.219414014347923,-0.00522656114556784,0.0392449286884087,-386.920582625979
"Number.216",0.217917193496903,-0.00590420094559965,0.0416894116685241,-373.037335669101
"Number.217",0.218415151301503,-0.00508811768153863,0.0425397319947657,-369.234878547415
"Number.218",0.215920592485025,-0.0063756297072692,0.0406837775176104,-379.240251520793
"Number.219",0.218449732847459,-0.00336810425840674,0.0450635464721583,-357.034493436106
"Number.220",0.219081141271322,-0.00439521947104014,0.0445608927970223,-359.137279393256
"Number.221",0.221024815701042,-0.00822675798361106,0.0411397869872035,-376.472906170939
"Number.222",0.226850059852933,-0.00844616213648705,0.0433851012778671,-365.289582665699
"Number.223",0.22015427417673,-0.00452327802723108,0.0469350574591748,-347.958212646864
"Number.224",0.215610905645321,-0.00516549739099459,0.0388415672849014,-389.096707401612
"Number.225",0.217081197402839,-0.00610369987853266,0.0424316447452038,-369.763601989596
"Number.226",0.220818614018976,-0.00705092706316758,0.0420714043569919,-372.345497455015
"Number.227",0.220276218595557,-0.00466425079902497,0.0430687112299057,-366.827026461918
"Number.228",0.223794528348227,-0.00596130913195863,0.042446560834374,-369.433990772356
"Number.229",0.216396524416531,-0.00543387408610708,0.0408500904393748,-378.392721701155
"Number.230",0.221438732733612,-0.00513584669791185,0.0463272232974466,-350.105174672859
"Number.231",0.217218870010779,-0.00615689284393951,0.0394769375957361,-385.792532761636
"Number.232",0.220880567414108,-0.00532441639282906,0.0434610758074782,-365.025747818881
"Number.233",0.218435636380099,-0.00712623517905193,0.0414681669853811,-374.156095292864
"Number.234",0.215124880749483,-0.00568778740641966,0.0393719349995286,-386.26835246505
"Number.235",0.21722675270794,-0.00658197367851755,0.0410515697406532,-377.231391346825
"Number.236",0.218485408752888,-0.00794217963652878,0.0442164336554689,-360.85378881066
"Number.237",0.219053083991594,-0.00418380290307154,0.0427644635959938,-366.62607271798
"Number.238",0.220429417457322,-0.00686069344161176,0.0417701868269504,-373.024723781718
"Number.239",0.218263273875392,-0.00436502202742799,0.0452181371644875,-356.190583338749
"Number.240",0.220596020827624,-0.00666401858500984,0.0441964769527903,-359.989894775963
"Number.241",0.22068521181199,-0.00770324037412237,0.0394451169472297,-385.55136616356
"Number.242",0.221817274298183,-0.00707178275409531,0.0419465798558178,-372.538750389731
"Number.243",0.225269301468758,-0.0055931074427881,0.044651418259472,-359.128635544593
"Number.244",0.221589616661342,-0.00698888894629783,0.0425943243648726,-369.421845830552
"Number.245",0.220751810982281,-0.00682674614181774,0.0419935534666419,-372.136929038811
"Number.246",0.216391375428064,-0.00637289004524735,0.0382689592425369,-392.248410896641
"Number.247",0.21927577131337,-0.00685156542944554,0.0437179186466459,-363.701824295052
"Number.248",0.219766191473039,-0.00526320330573075,0.0448066475922894,-357.676317376549
"Number.249",0.218830151636103,-0.00657140511444119,0.0428008562386345,-368.526264481308
"Number.250",0.219713621005296,-0.00739780774917831,0.0421980845049792,-371.341860622643
"Number.251",0.219181485110098,-0.00594320556177753,0.0458658959946566,-352.941784069245
"Number.252",0.218633327469348,-0.00390544587675565,0.0433231163048963,-365.761793331241
"Number.253",0.22039365012672,-0.00695015817902517,0.04382197635519,-362.860111721028
"Number.254",0.215343483930731,-0.00549269477857378,0.0421647027315706,-371.573174876163
"Number.255",0.22292270873262,-0.00888032510988286,0.0397358192561829,-384.176988988531
"Number.256",0.221777524813382,-0.00550968372021536,0.0456638143550982,-354.009562372968
"Number.257",0.227170273282532,-0.00459908319931816,0.049124136885661,-337.87659479323
"Number.258",0.225339911258483,-0.00775679683366351,0.0464295290563752,-350.223243680752
"Number.259",0.217988744854674,-0.00718017885628515,0.0439087226808043,-363.029966158667
"Number.260",0.221235985869395,-0.00846857363728062,0.0422146657095906,-371.288789407886
"Number.261",0.222610036394797,-0.0073307519334608,0.0458086373520815,-353.208886653681
"Number.262",0.223529547458102,-0.0057794021096395,0.047082474119718,-347.438558561338
"Number.263",0.21922036557798,-0.00814192316122206,0.0402587344100628,-381.152866317998
"Number.264",0.224361452131455,-0.00688133468700588,0.0421872353446532,-371.355181482848
"Number.265",0.222289750948281,-0.00895225580815057,0.0431486354155232,-365.88413585466
"Number.266",0.218277199488403,-0.00626900490848869,0.0442630308289096,-361.008210246965
"Number.267",0.217050104404496,-0.00432214193150922,0.0458775059996071,-353.153793828964
"Number.268",0.222230447812868,-0.0104638823950623,0.0456120305986235,-354.487279299774
"Number.269",0.226303819300834,-0.00778968156324148,0.0413690916306802,-375.950357349605
"Number.270",0.218117042414171,-0.00582507709943788,0.0453783447730137,-355.528807652276
"Number.271",0.223828741436141,-0.00926807773334223,0.0439437305191123,-362.083280660046
"Number.272",0.224351779970046,-0.00676196505763651,0.0469772523782562,-348.218658356129
"Number.273",0.225105402061584,-0.00795671723063706,0.0415877137309349,-373.756411891072
"Number.274",0.2223070796678,-0.00879582936661684,0.0445869655974233,-358.886806963289
"Number.275",0.215459303309026,-0.00845780357785153,0.0440614848847515,-361.535328027607
"Number.276",0.217982606475801,-0.00859765736197346,0.0393052020043029,-386.747659139372
"Number.277",0.222485680466872,-0.00662604928576045,0.0435565122470681,-364.563160051977
"Number.278",0.218204857845449,-0.00589889740752176,0.0432355272281162,-364.579609383711
"Number.279",0.217944165900631,-0.00578121227783689,0.0440043298901716,-361.356062414003
"Number.280",0.217264002432369,-0.00873125185966189,0.0408912144856369,-378.209023217934
"Number.281",0.220766522840311,-0.00458957818346504,0.0442699119328142,-360.636093939332
"Number.282",0.217219675841936,-0.00445127619935627,0.0374223167827429,-397.351553001384
"Number.283",0.220493432865287,-0.00685713377607596,0.0448321248334006,-358.49343732042
"Number.284",0.220740321029028,-0.00938906901852572,0.0411699446021912,-376.547900974974
"Number.285",0.218217043973908,-0.00705131999402972,0.0421588653428751,-370.800472813776
"Number.286",0.223345711751134,-0.00858907128035859,0.0397911664654918,-383.867784951779
"Number.287",0.21901729216009,-0.00594865923616135,0.0421947634889047,-371.135140317763
"Number.288",0.217884545613235,-0.00648196891284798,0.0427339262083419,-368.480151531776
"Number.289",0.224669436131293,-0.00418687064470757,0.0485599179097477,-340.931046871206
"Number.290",0.220904166769194,-0.00755785020488464,0.0437150545489131,-363.462557641166
"Number.291",0.224745158373833,-0.00693781678891885,0.0428381270913931,-367.715834430853
"Number.292",0.227563187185759,-0.0085224217431762,0.0434437266425446,-364.455065619711
"Number.293",0.224895117733064,-0.0054616049670142,0.0450312624930812,-356.523347090732
"Number.294",0.222162978318615,-0.00506068878199303,0.0461389657991692,-352.050198353508
"Number.295",0.221602516426012,-0.00493905523068019,0.0445190704648502,-360.143153105223
"Number.296",0.219324185820747,-0.0100722062360425,0.0398641337647212,-383.79231923576
"Number.297",0.225517124210811,-0.00675858321577407,0.0435935895040617,-364.30965995924
"Number.298",0.222851619053785,-0.00829227812992637,0.0436674879117458,-364.440694429375
"Number.299",0.217648509793461,-0.00486074517205989,0.041647071024191,-374.556558789192
"Number.300",0.223219246703887,-0.00651868597985852,0.0459564497520269,-352.465884031903
"Number.301",0.22132295723084,-0.00737412902642233,0.0419684983259425,-372.186358173049
"Number.302",0.220692759346067,-0.0074087494002347,0.0476998551177253,-345.008900958331
"Number.303",0.223015178638446,-0.00277265459799372,0.0438776278138489,-361.960217595797
"Number.304",0.218624889818213,-0.00720576610618864,0.0416507622311019,-373.919625864921
"Number.305",0.220654588866153,-0.00597224864679803,0.040515311040999,-379.657813299765
"Number.306",0.224000335766344,-0.00546498482562205,0.0466268311290889,-349.082527734362
"Number.307",0.219603142863434,-0.00658202670948293,0.0416636854053429,-373.912807600496
"Number.308",0.213717098106331,-0.00621625253894592,0.0404409983742554,-380.44118240404
"Number.309",0.21975133709939,-0.0074564803560817,0.0426544549559134,-368.532180693687
"Number.310",0.217340871668605,-0.00565569533275812,0.0445118748525479,-359.702787434128
"Number.311",0.222214241582078,-0.00447153062446547,0.0398301746332555,-383.732439519446
"Number.312",0.218551964083581,-0.00490633441650646,0.0436169378414986,-364.562026732087
"Number.313",0.219168278228855,-0.0057927338677767,0.0398280835661245,-383.737626006842
"Number.314",0.217393282531672,-0.00597211003960707,0.0388670619839646,-389.199945949282
"Number.315",0.224496329103409,-0.00833283603518205,0.0415691259406586,-374.278431905967
"Number.316",0.220376323096553,-0.00540959076300537,0.0385836182338676,-390.367310631266
"Number.317",0.219870995632951,-0.00899255895385139,0.0454966162906909,-354.642838731223
"Number.318",0.222003433057796,-0.00844886017797171,0.0439428723720333,-362.468414058226
"Number.319",0.220763013733576,-0.00635382566972188,0.0428106069729395,-368.674726767432
"Number.320",0.221748857179403,-0.00782011406387245,0.0441619900519786,-361.762096259782
"Number.321",0.218510084571284,-0.00630546888770494,0.0407205269911217,-379.143603762889
"Number.322",0.216914183192402,-0.00534814415526963,0.0449681912053567,-356.864972340463
"Number.323",0.218970534871688,-0.00836852980586137,0.0413130928275314,-375.859474181934
"Number.324",0.227148767657778,-0.00679444342453767,0.0462583464829038,-350.816440689481
"Number.325",0.219356275948413,-0.00727906508318591,0.0453633564669319,-355.198675810557
"Number.326",0.220269712176272,-0.00589713861659696,0.0437506528655074,-362.741995404674
"Number.327",0.21932046488541,-0.00481266320001172,0.0448121744276757,-358.231729673152
"Number.328",0.217435279536951,-0.00479335813012816,0.0455550605117726,-354.454911180811
"Number.329",0.220401215986399,-0.00723373852039803,0.0402640378444234,-381.13909110515
"Number.330",0.222213051411319,-0.00773320398115501,0.0438381836412427,-362.856926614158
"Number.331",0.224801401272317,-0.00779358670487356,0.0423464898004963,-370.618499880169
"Number.332",0.223074308240932,-0.0073789468188163,0.04271731448995,-369.060316328969
"Number.333",0.221873036643033,-0.00862108208879894,0.0440416118374907,-361.466779494685
"Number.334",0.224068921308769,-0.00703459707185043,0.0481912196887579,-342.839207086821
"Number.335",0.219041778816788,-0.00649557198153616,0.0428979643748037,-367.477453363232
"Number.336",0.223212275196257,-0.00881460279388649,0.0420320232949569,-371.840027857039
"Number.337",0.222844991587772,-0.00668417792848821,0.0449030771915175,-357.894577186757
"Number.338",0.221407331521741,-0.0060504437266865,0.0458360377720079,-353.673504629738
"Number.339",0.220948431081046,-0.00671096504855338,0.0388610591349859,-388.232064660594
"Number.340",0.221145406634229,-0.0080685317265752,0.0378873692717818,-394.494905747922
"Number.341",0.218965398325067,-0.00664624461080392,0.046010608221135,-352.078014985359
"Number.342",0.218344726746519,-0.00498696978742744,0.0422318425387359,-370.636423721813
"Number.343",0.224601659778572,-0.00910526192355224,0.0461919795309859,-350.941723785928
"Number.344",0.22199243506534,-0.00678272835223443,0.0431793698360083,-366.120295383122
"Number.345",0.219935773779856,-0.00652910567941048,0.0413389514187141,-375.454560342599
"Number.346",0.216881219741502,-0.00547698895829218,0.0469543293409532,-348.109790010808
"Number.347",0.222554363345074,-0.00526624729714043,0.0394310574454189,-385.859700193395
"Number.348",0.222490303634221,-0.00806477767115783,0.0396844058942587,-384.142012377004
"Number.349",0.224537289558277,-0.00469180958729647,0.0469494056387683,-348.032298816773
"Number.350",0.220732835294393,-0.00659205507161386,0.0455291245426457,-354.574628796606
"Number.351",0.22007993611987,-0.00707775390976754,0.0474352062263512,-345.625405370741
"Number.352",0.222663637019886,-0.00699595916055187,0.0471002885953757,-347.091006367187
"Number.353",0.220586027722157,-0.00541490975420565,0.0458006716217202,-353.041933883953
"Number.354",0.222282740568009,-0.00774842719131342,0.0415517726097047,-374.429281641309
"Number.355",0.221230692612567,-0.00686454524925003,0.0457989784175953,-352.822480275744
"Number.356",0.224181809759071,-0.00803830045720626,0.0424322629885506,-369.86696305929
"Number.357",0.220317414136483,-0.00628203581347259,0.0413851930443898,-375.469901421191
"Number.358",0.215642384485214,-0.00642775565675999,0.0389692390981034,-388.127684207965
"Number.359",0.221979119008256,-0.00670538961299095,0.0387982563014807,-389.186180759414
"Number.360",0.225736425582639,-0.00815384768356503,0.0465935028151395,-349.393725759365
"Number.361",0.22188117205804,-0.00743446154974599,0.0372752759669878,-398.249053424633
"Number.362",0.220186345468977,-0.00745597901089503,0.0397869957166137,-382.721460526118
"Number.363",0.217500756794267,-0.00790151613214846,0.0428601732037444,-367.97930895436
"Number.364",0.218979975935716,-0.00793688140402286,0.0486738106199444,-340.276824523161
"Number.365",0.227427642616142,-0.00843652974775313,0.0429884291704239,-367.150547957228
"Number.366",0.222689424315547,-0.00645663825033005,0.0430041978039479,-366.651444249356
"Number.367",0.2221145238371,-0.00789196986984277,0.0429009807382175,-366.734513574855
"Number.368",0.221620993632624,-0.00506988226730896,0.0415458694854947,-374.224710338625
"Number.369",0.228027928056572,-0.0102956178457507,0.0438841656393158,-362.872616066039
"Number.370",0.222179322950752,-0.00751293379157911,0.0399210629402577,-382.863813497278
"Number.371",0.220852147769745,-0.00790013273157211,0.0404494571030321,-379.020413548792
"Number.372",0.217642109159777,-0.00638431423799873,0.0397512591853164,-383.998376493892
"Number.373",0.224262822553113,-0.00866814564954117,0.0461466916148362,-351.962113864722
"Number.374",0.225845803447381,-0.00867327225694752,0.0435435732492628,-364.062669213402
"Number.375",0.223204824892055,-0.00645904239114354,0.0470245599095954,-346.206015072476
"Number.376",0.217140645932809,-0.00649606321160517,0.0401236313331007,-382.139724440023
"Number.377",0.220097645303675,-0.00574157163061328,0.0454758090342374,-354.63775377179
"Number.378",0.219392221514236,-0.00495119638881784,0.0411159740345547,-376.467960010043
"Number.379",0.221402030094485,-0.00640658867673295,0.0452492361471646,-356.35759140464
"Number.380",0.221968996983747,-0.00584552205862864,0.0487718670779225,-340.003996132056
"Number.381",0.224109328370168,-0.00823762904145001,0.0423121109195074,-370.461407424962
"Number.382",0.21482980233783,-0.00738189990008956,0.0402229034264193,-381.104662758051
"Number.383",0.216921085855329,-0.00453566527882398,0.0437373863022827,-363.111160503251
"Number.384",0.224833026899548,-0.00924299905964627,0.0443543562886037,-360.555875705008
"Number.385",0.220536460175128,-0.00894719032454269,0.0402511990016934,-381.341105691185
"Number.386",0.218907494118306,-0.00603189502943256,0.0457621508034368,-353.778669156168
"Number.387",0.219828333012083,-0.00585713156922796,0.0461269629815603,-352.034000394478
"Number.388",0.220950518431393,-0.00428026517883898,0.046054313229358,-352.196749942672
"Number.389",0.218830014932987,-0.00556138732648887,0.0444503684890571,-359.950764063114
"Number.390",0.223596438879075,-0.00840939159379912,0.0401273213362254,-382.215872947976
"Number.391",0.21950310862338,-0.00583485516548295,0.0449751564543555,-357.210530186839
"Number.392",0.216802887558263,-0.00476526111520301,0.0389771274668902,-388.933647988708
"Number.393",0.217775563926662,-0.00502407383072385,0.0424779926126948,-369.729979634273
"Number.394",0.219254868030373,-0.00637764521272462,0.0432191416504894,-366.301993090642
"Number.395",0.221803395233545,-0.00688447800953162,0.0427966518086997,-368.549028263376
"Number.396",0.224721059778951,-0.00690658109745769,0.045271036845547,-354.433818778172
"Number.397",0.219377349813115,-0.00615767200759622,0.0402952659712447,-381.492562356153
"Number.398",0.220161412678467,-0.00797744347915275,0.0430008107326693,-367.129452443353
"Number.399",0.220536890799554,-0.00676354510532952,0.0453507345291094,-355.977667363606
"Number.400",0.217522927980203,-0.00835826267003446,0.0423476504926214,-370.110831788932
"Number.401",0.222298856770755,-0.00684295119720568,0.0438682954963992,-361.570732172194
"Number.402",0.219364384647604,-0.0081061158442619,0.0424979705130955,-369.69880368484
"Number.403",0.220211693618317,-0.00563113824914862,0.0418292166709563,-372.606589876684
"Number.404",0.22250196337231,-0.00711145630659484,0.0470881551726017,-347.144092707461
"Number.405",0.220375292228126,-0.00714674025477521,0.0457285698258193,-353.526243494138
"Number.406",0.213287509342674,-0.00477724330869419,0.0434378244288762,-364.120439302889
"Number.407",0.218552781947791,-0.00292909792508037,0.0459329846313978,-352.88660050608
"Number.408",0.217056552958131,-0.00615091717262235,0.0445885938422389,-358.939437567132
"Number.409",0.221881251434969,-0.00635747661764418,0.043503867873331,-364.685930090873
"Number.410",0.217149202444331,-0.00682011557421547,0.0417073129263743,-373.411563523256
"Number.411",0.218740727596534,-0.00558113337012617,0.0418276466245726,-373.622617014897
"Number.412",0.220554193257177,-0.00563084361942024,0.0445014652277533,-360.043513978357
"Number.413",0.219747996949345,-0.00457238972286912,0.0403393202208299,-380.875350269572
"Number.414",0.218859904838716,-0.00678465349496377,0.0434057341597237,-364.973506489144
"Number.415",0.224126649747832,-0.00736570465176693,0.0422455403488426,-370.965855615345
"Number.416",0.219793628858474,-0.00466113308691635,0.0456135848447591,-354.172764962527
"Number.417",0.218452440226166,-0.00424872452759706,0.0429630182703249,-367.270320237359
"Number.418",0.214257041897638,-0.00844646188923377,0.0354112993095176,-409.469152299589
"Number.419",0.219458923390157,-0.00358334065896889,0.0424513912106267,-369.799646450167
"Number.420",0.223151918365697,-0.00604134310826049,0.0422021225365557,-370.504468809798
"Number.421",0.219770961904258,-0.00642791594495259,0.0406022050438741,-379.542230177433
"Number.422",0.220024538173796,-0.00680280773433726,0.0417901316843372,-373.060954542152
"Number.423",0.219992574528032,-0.00500233757564154,0.0424060220870453,-370.336568642403
"Number.424",0.218498562807496,-0.00740892574989631,0.0416550278458192,-373.516901602955
"Number.425",0.219216399924362,-0.00975093306234434,0.0409361695784281,-377.272945402042
"Number.426",0.218761374006089,-0.00711059371163402,0.0412148993413491,-375.739464070543
"Number.427",0.218708798444195,-0.00792883971227543,0.0453718013877157,-355.194902605923
"Number.428",0.219158609587495,-0.00705707675481013,0.0430388965601355,-367.135950456488
"Number.429",0.219362145709002,-0.00917828500792662,0.0405017209836554,-379.591642212562
"Number.430",0.220899365281843,-0.00817904325505111,0.0394550250693144,-386.129913854148
"Number.431",0.223237622955154,-0.00513769157235765,0.0470947498237994,-347.246121809715
"Number.432",0.220982311235879,-0.00757543830346496,0.0458718719310721,-353.055126931185
"Number.433",0.21758456947447,-0.00454365148807494,0.0415986733530332,-374.36289051867
"Number.434",0.221362685018208,-0.00641928761414571,0.0430664171814067,-366.468995532135
"Number.435",0.219167176528857,-0.00529591654788976,0.0398671138815673,-383.103129324596
"Number.436",0.216903947888604,-0.00607359902364182,0.0416948519619331,-373.925851251086
"Number.437",0.220065995155554,-0.00790724325082528,0.0459759204715517,-352.840201553365
"Number.438",0.218594561610818,-0.00774973994691576,0.0432550061576424,-365.592161263534
"Number.439",0.218278492937948,-0.00374218908204367,0.0404248268992025,-380.591055960515
"Number.440",0.216788986486667,-0.00404201272669913,0.0420552063215884,-372.272808920591
"Number.441",0.223730069241397,-0.00825816122924694,0.0423647114061937,-370.551596690763
"Number.442",0.222117500221796,-0.00348671153090213,0.0464480902225387,-350.229008351258
"Number.443",0.221954605848586,-0.00600427411002035,0.0440154448294064,-361.883167544576
"Number.444",0.219665124005544,-0.00437168775754995,0.042823605919953,-368.639887127085
"Number.445",0.218105747207309,-0.0100135565739884,0.045244804762789,-355.778463053023
"Number.446",0.224772373621517,-0.008631195602117,0.0431329373865245,-366.466115616075
"Number.447",0.222993535859106,-0.00867514040696969,0.0463354113055751,-351.136071196939
"Number.448",0.221491172218906,-0.00845066792391493,0.0434652055095406,-365.253459906769
"Number.449",0.22237162504919,-0.0072658151734826,0.0420907248745514,-371.736756735555
"Number.450",0.219608735574377,-0.00670286701608359,0.0410258690014569,-377.597430180265
"Number.451",0.220734295087361,-0.00730038171967959,0.0461333704015826,-350.276768412586
"Number.452",0.21904264303155,-0.00792829064473535,0.0384940687625661,-390.493609151566
