"var_names","mean","stan_dev"
"a",1.289,0.368
"b_C",-0.191,0.298
"a_Var_ELN",-0.348,0.376
"a_Var_ELC",1.051,0.379
"a_Var_GYR",-0.792,0.374
"a_Var_GYN",0.774,0.387
"a_Var_KRA",0.157,0.45
"a_Var_PRM",-0.003,0.375
"sigma_Species",0.851,0.328
"sigma",0.449,0.032
