Sources,Meand13C,SDd13C,MyNumber
Diet,-29.05149228,1.095837935,BAS_91
Diet,-29.03149228,1.095837935,BAS_93
Diet,-28.24149228,1.095837935,BAS_94
Diet,-29.03149228,1.095837935,BAS_95
Diet,-26.20634096,2.340717324,BAS_96
Diet,-26.22149228,1.095837935,BAS_97
Diet,-27.28149228,1.095837935,BAS_98
Diet,-27.17149228,1.095837935,BAS_99
Diet,-27.03149228,1.095837935,BAS_100
Diet,-26.34149228,1.095837935,BAS_101
Diet,-28.79149228,1.095837935,BAS_102
Diet,-27.76149228,1.095837935,BAS_103
Diet,-28.60149228,1.095837935,BAS_104
Diet,-28.28149228,1.095837935,BAS_105
Diet,-27.19149228,1.095837935,BAS_106
Diet,-25.56149228,1.095837935,BAS_107
Diet,-29.55149228,1.095837935,BAS_110
Diet,-29.28149228,1.095837935,BAS_111
Diet,-27.42149228,1.095837935,BAS_112
Diet,-25.06149228,1.095837935,BAS_120
Diet,-26.78149228,1.095837935,BAS_121
Diet,-29.01149228,1.095837935,BAS_122
Diet,-26.40149228,1.095837935,BAS_123
Diet,-26.99149228,1.095837935,BAS_124
Diet,-25.32149228,1.095837935,BAS_125
Diet,-27.09149228,1.095837935,BAS_126
Diet,-28.66149228,1.095837935,BAS_127
Diet,-27.09294,1.102585,BAS_128
Diet,-27.09294,1.102585,BAS_220
Diet,-28.08149228,1.095837935,BAS_129
Diet,-25.75149228,1.095837935,BAS_130
Diet,-24.97149228,1.095837935,BAS_145
Diet,-28.17149228,1.095837935,BAS_146
Diet,-28.04149228,1.095837935,BAS_151
Diet,-27.90149228,1.095837935,BAS_152
Diet,-28.55149228,1.095837935,BAS_153
Diet,-28.31149228,1.095837935,BAS_155
Diet,-27.57149228,1.095837935,BAS_156
Diet,-27.86149228,1.095837935,BAS_165
Diet,-28.87149228,1.095837935,BAS_166
Diet,-28.27149228,1.095837935,BAS_167
Diet,-28.65149228,1.095837935,BAS_168
Diet,-29.05149228,1.095837935,BAS_169
Diet,-27.67149228,1.095837935,BAS_170
Diet,-27.53149228,1.095837935,BAS_172
Diet,-27.95149228,1.095837935,BAS_174
Diet,-28.16149228,1.095837935,BAS_175
Diet,-27.73149228,1.095837935,BAS_176
Diet,-28.00149228,1.095837935,BAS_177
Diet,-27.98149228,1.095837935,BAS_178
Diet,-27.97591163,1.373522829,BAS_221
Diet,-25.45149228,1.095837935,BAS_188
Diet,-23.76149228,1.095837935,BAS_189
Diet,-25.79743666,1.486309103,BAS_191
Diet,-26.21149228,1.095837935,BAS_192
Diet,-26.85149228,1.095837935,BAS_193
Diet,-25.16149228,1.095837935,BAS_194
Diet,-24.03149228,1.095837935,BAS_195
Diet,-25.97149228,1.095837935,BAS_196
Diet,-24.17149228,1.095837935,BAS_200
Diet,-25.21149228,1.095837935,BAS_201
Diet,-26.19149228,1.095837935,BAS_203
Diet,-24.44149228,1.095837935,BAS_204
Diet,-26.43149228,1.095837935,BAS_205
Diet,-26.49149228,1.095837935,BAS_212
Diet,-26.15149228,1.095837935,BAS_213
Diet,-26.26149228,1.095837935,BAS_214
Diet,-27.08149228,1.095837935,BAS_215
Diet,-26.22149228,1.095837935,BAS_217
Diet,-26.98149228,1.095837935,BAS_218
Diet,-26.70149228,1.095837935,BAS_219
