"Group.1","mg_kg","Species"
"Electrona antarctica",193.384148826924,"Electrona antarctica"
"Electrona carlsbergi",239.838146505537,"Electrona carlsbergi"
"Gymnoscopelus braueri",152.094615110494,"Gymnoscopelus braueri"
"Gymnoscopelus nicholsi",165.176979585156,"Gymnoscopelus nicholsi"
"Krefftichthys anderssoni",269.165115846614,"Krefftichthys anderssoni"
"Protomyctophum bolini",322.535696013644,"Protomyctophum bolini"
