"Group.1","mg_kg","Species"
"Electrona antarctica",376.639018473878,"Electrona antarctica"
"Electrona carlsbergi",311.762537444623,"Electrona carlsbergi"
"Gymnoscopelus braueri",274.020349481634,"Gymnoscopelus braueri"
"Gymnoscopelus nicholsi",216.223126618341,"Gymnoscopelus nicholsi"
"Krefftichthys anderssoni",483.819772624517,"Krefftichthys anderssoni"
"Protomyctophum bolini",504.0528186509,"Protomyctophum bolini"
