"Group.1","mg_kg","Species"
"Electrona antarctica",583.881175206149,"Electrona antarctica"
"Electrona carlsbergi",317.944166767476,"Electrona carlsbergi"
"Gymnoscopelus braueri",441.074779505552,"Gymnoscopelus braueri"
"Gymnoscopelus nicholsi",230.981342142594,"Gymnoscopelus nicholsi"
"Krefftichthys anderssoni",423.18600616497,"Krefftichthys anderssoni"
"Protomyctophum bolini",325.516959057006,"Protomyctophum bolini"
