"var_names","mean","stan_dev"
"a",0.177,0.015
"b_Y",0.005,0.004
"a_Var_ELN",0.033,0.015
"a_Var_ELC",-0.008,0.015
"a_Var_GYR",0.026,0.015
"a_Var_GYN",-0.037,0.015
"a_Var_KRA",0.009,0.015
"a_Var_PRM",-0.012,0.015
"sigma_Species",0.034,0.014
"sigma",0.017,0.001
