"var_names","mean","stan_dev"
"a",0.179,0.015
"b_L",0,0.003
"a_Var_ELN",0.035,0.015
"a_Var_ELC",-0.01,0.015
"a_Var_GYR",0.028,0.015
"a_Var_GYN",-0.035,0.015
"a_Var_KRA",0.012,0.015
"a_Var_PRM",-0.011,0.015
"sigma_Species",0.035,0.016
"sigma",0.017,0.001
