Sources,Meand13C,SDd13C,MyNumber
DIC,2.138823314,0.286368732,BAS_19
DIC,2.138823314,0.286368732,BAS_21
DIC,2.138823314,0.286368732,BAS_31
DIC,2.138823314,0.286368732,BAS_32
DIC,2.138823314,0.286368732,BAS_33
DIC,2.138823314,0.286368732,BAS_35
DIC,2.034163684,0.246539686,BAS_37
DIC,2.034163684,0.246539686,BAS_38
DIC,2.034163684,0.246539686,BAS_42
DIC,2.138823314,0.286368732,BAS_52
DIC,2.246167706,0.288369124,BAS_59
DIC,2.192335923,0.290686696,BAS_60
DIC,2.246167706,0.288369124,BAS_61
DIC,2.196167706,0.288369124,BAS_62
DIC,2.192335923,0.290686696,BAS_65
DIC,2.196167706,0.288369124,BAS_67
DIC,2.246167706,0.288369124,BAS_69
DIC,2.192335923,0.290686696,BAS_71
DIC,2.196167706,0.288369124,BAS_72
DIC,2.189248264,0.248132999,BAS_73
DIC,2.00559896,0.213707048,BAS_74
DIC,2.189248264,0.248132999,BAS_75
DIC,2.189248264,0.248132999,BAS_76
DIC,2.189248264,0.248132999,BAS_77
DIC,2.189248264,0.248132999,BAS_78
DIC,2.189248264,0.248132999,BAS_79
DIC,2.189248264,0.248132999,BAS_80
DIC,2.189248264,0.248132999,BAS_81
DIC,2.189248264,0.248132999,BAS_82
DIC,2.189248264,0.248132999,BAS_83
DIC,2.189248264,0.248132999,BAS_84
DIC,2.189248264,0.248132999,BAS_85
DIC,2.189248264,0.248132999,BAS_86
DIC,2.189248264,0.248132999,BAS_87
DIC,2.189248264,0.248132999,BAS_88
DIC,2.189248264,0.248132999,BAS_89
DIC,2.138823314,0.286368732,BAS_90
DIC,2.138823314,0.286368732,BAS_91
DIC,2.138823314,0.286368732,BAS_93
DIC,2.138823314,0.286368732,BAS_94
DIC,2.138823314,0.286368732,BAS_95
DIC,2.139248264,0.248132999,BAS_96
DIC,2.139248264,0.248132999,BAS_97
DIC,2.138823314,0.286368732,BAS_98
DIC,2.139248264,0.248132999,BAS_99
DIC,2.139248264,0.248132999,BAS_100
DIC,2.139248264,0.248132999,BAS_101
DIC,2.139248264,0.248132999,BAS_102
DIC,2.138823314,0.286368732,BAS_103
DIC,2.138823314,0.286368732,BAS_104
DIC,2.138823314,0.286368732,BAS_105
DIC,2.138823314,0.286368732,BAS_106
DIC,2.139248264,0.248132999,BAS_107
DIC,2.138823314,0.286368732,BAS_110
DIC,2.138823314,0.286368732,BAS_111
DIC,2.138823314,0.286368732,BAS_112
DIC,2.138823314,0.286368732,BAS_120
DIC,2.138823314,0.286368732,BAS_121
DIC,2.138823314,0.286368732,BAS_122
DIC,2.138823314,0.286368732,BAS_123
DIC,2.138823314,0.286368732,BAS_124
DIC,2.138823314,0.286368732,BAS_125
DIC,2.138823314,0.286368732,BAS_126
DIC,2.138823314,0.286368732,BAS_127
DIC,2.034163684,0.246539686,BAS_128
DIC,2.034163684,0.246539686,BAS_220
DIC,2.034163684,0.246539686,BAS_129
DIC,2.14158494,0.25118141,BAS_130
DIC,2.14158494,0.25118141,BAS_145
DIC,2.196167706,0.288369124,BAS_146
DIC,2.246167706,0.288369124,BAS_151
DIC,2.192335923,0.290686696,BAS_152
DIC,2.246167706,0.288369124,BAS_153
DIC,2.246167706,0.288369124,BAS_155
DIC,2.196167706,0.288369124,BAS_156
DIC,2.196167706,0.288369124,BAS_165
DIC,2.246167706,0.288369124,BAS_166
DIC,2.196167706,0.288369124,BAS_167
DIC,2.246167706,0.288369124,BAS_168
DIC,2.246167706,0.288369124,BAS_169
DIC,2.196167706,0.288369124,BAS_170
DIC,2.246167706,0.288369124,BAS_172
DIC,2.196167706,0.288369124,BAS_174
DIC,2.246167706,0.288369124,BAS_175
DIC,2.246167706,0.288369124,BAS_176
DIC,2.196167706,0.288369124,BAS_177
DIC,2.196167706,0.288369124,BAS_178
DIC,2.196167706,0.288369124,BAS_221
DIC,2.139248264,0.248132999,BAS_188
DIC,2.139248264,0.248132999,BAS_189
DIC,2.139248264,0.248132999,BAS_191
DIC,2.14158494,0.25118141,BAS_192
DIC,2.14158494,0.25118141,BAS_193
DIC,2.139248264,0.248132999,BAS_194
DIC,2.139248264,0.248132999,BAS_195
DIC,2.14158494,0.25118141,BAS_196
DIC,2.192335923,0.290686696,BAS_200
DIC,2.192335923,0.290686696,BAS_201
DIC,2.192335923,0.290686696,BAS_203
DIC,2.192335923,0.290686696,BAS_204
DIC,2.192335923,0.290686696,BAS_205
DIC,2.192335923,0.290686696,BAS_212
DIC,2.196167706,0.288369124,BAS_213
DIC,2.196167706,0.288369124,BAS_214
DIC,2.196167706,0.288369124,BAS_215
DIC,2.196167706,0.288369124,BAS_217
DIC,2.196167706,0.288369124,BAS_218
DIC,2.192335923,0.290686696,BAS_219
Diet,-28.49149228,1.095837935,BAS_19
Diet,-27.91698536,1.139928833,BAS_21
Diet,-27.46704831,1.095837935,BAS_31
Diet,-28.91892439,1.095837935,BAS_32
Diet,-28.14462929,1.095837935,BAS_33
Diet,-27.27913781,1.095837935,BAS_35
Diet,-28.53004678,1.095837935,BAS_37
Diet,-27.71821766,1.095837935,BAS_38
Diet,-28.29454534,1.095837935,BAS_42
Diet,-28.19948433,1.095837935,BAS_52
Diet,-27.93692966,1.095837935,BAS_59
