"","X0.23155197462225"
"1",0.23155197462225
"2",0.266697819352888
"3",0.237785337236027
"4",0.251255370408291
"5",0.224543056663208
"6",0.234474914821022
"7",0.248445134470009
"8",0.21208833322725
"9",0.223193731537912
"10",0.224894309865735
"11",0.252892304665424
"12",0.260627952345306
"13",0.213511572805666
"14",0.209561712183028
"15",0.195398090549897
"16",0.239544754726596
"17",0.24984993850083
"18",0.246115460129173
"19",0.225749020075216
"20",0.197595658456397
"21",0.193858782830709
"22",0.189591902732294
"23",0.183320002263034
"24",0.173686977713396
"25",0.187709710015751
"26",0.194923768751254
"27",0.17814751055343
"28",0.173594908346494
"29",0.171488224584786
"30",0.195024443733135
"31",0.193150693861396
"32",0.213482635323715
"33",0.173646137025037
"34",0.175118134199556
"35",0.175846549468248
"36",0.187472768161322
"37",0.246204154900178
"38",0.237310483215583
"39",0.234374053967911
"40",0.228955597606121
"41",0.206323135054962
"42",0.232599609213748
"43",0.239285930456729
"44",0.218030172687042
"45",0.242997336145424
"46",0.224339537089801
"47",0.211334624611592
"48",0.218821110295127
"49",0.242286084344187
"50",0.207900629717088
"51",0.213088536794859
"52",0.218841391389771
"53",0.229438397834631
"54",0.225832514187436
"55",0.23701356717323
"56",0.213785431193809
"57",0.176769582502114
"58",0.153619007099445
"59",0.150466137894306
"60",0.1637893229855
"61",0.16287158771292
"62",0.180823134461879
"63",0.160207618816827
"64",0.146473921681174
"65",0.156998479598868
"66",0.185828331717679
"67",0.159839428461289
"68",0.181662883526035
"69",0.215421180782817
"70",0.199877616363073
"71",0.241938753095316
"72",0.219554253131613
"73",0.212079487361316
"74",0.179420377689836
"75",0.227294148549439
"76",0.215891113448012
"77",0.20235702573463
"78",0.214364631127797
"79",0.208683411197954
"80",0.193422136135572
"81",0.222526656804868
"82",0.209265102121567
"83",0.211202827820674
"84",0.194017660871575
"85",0.214356663066316
"86",0.195492749463733
"87",0.224063668682133
"88",0.20168226904058
"89",0.195465373230218
"90",0.14908118761069
"91",0.161170317514434
"92",0.18611403720288
"93",0.212887773658567
"94",0.152982187339314
"95",0.152277353431226
"96",0.142415820535599
"97",0.193397943662514
"98",0.205731482808535
"99",0.199948728183932
"100",0.207537421654137
"101",0.194382920076124
"102",0.21379371559979
"103",0.211408901041975
"104",0.187668585544459
"105",0.192943252777596
"106",0.220797285996529
"107",0.180148926193405
"108",0.212464272074783
