"","X0.171139060455254"
"1",0.171139060455254
"2",0.20889415355839
"3",0.177358403307183
"4",0.193512007802394
"5",0.161913355999965
"6",0.170671490955318
"7",0.190380604301349
"8",0.148738989353165
"9",0.160791045349679
"10",0.164856116405038
"11",0.191796273104515
"12",0.201673341573414
"13",0.149758986120821
"14",0.147335212832744
"15",0.133324559887838
"16",0.176712133374248
"17",0.187648077822061
"18",0.185966299808866
"19",0.163642933917617
"20",0.122814166668089
"21",0.121104615518961
"22",0.112441320055539
"23",0.109137231395023
"24",0.0998084146137052
"25",0.119343923827915
"26",0.122835172529112
"27",0.101896735616302
"28",0.0992113722708621
"29",0.0947774283092296
"30",0.122432106016941
"31",0.119753427571416
"32",0.142424309327914
"33",0.104439223580552
"34",0.0993333670705701
"35",0.105805366235422
"36",0.115366112836405
"37",0.186570936716328
"38",0.178442474342168
"39",0.174353821250777
"40",0.166725652888497
"41",0.14627893580843
"42",0.165042295606811
"43",0.172708961836887
"44",0.153188238022832
"45",0.178990200036608
"46",0.159464017838205
"47",0.145144834174613
"48",0.158381541778662
"49",0.180269740804127
"50",0.146356801140044
"51",0.149185289959795
"52",0.155058223386666
"53",0.159981235656403
"54",0.165978112623179
"55",0.177068370736969
"56",0.149892421803583
"57",0.103789296149335
"58",0.0818547518840484
"59",0.0860084326729007
"60",0.0907634173154273
"61",0.0930776515559352
"62",0.108791820515136
"63",0.0880927615028781
"64",0.0778714417893879
"65",0.0861790362695957
"66",0.117266412176783
"67",0.0926722277440316
"68",0.111442264714028
"69",0.145498113199802
"70",0.137381512076395
"71",0.181556426062249
"72",0.157915635293406
"73",0.149928407873416
"74",0.114678460486905
"75",0.162624026937827
"76",0.152742267071278
"77",0.140111511052816
"78",0.152059059842803
"79",0.146254917518961
"80",0.131437590864399
"81",0.159201807983286
"82",0.144257219900324
"83",0.14805314391283
"84",0.130083848522463
"85",0.149673761154001
"86",0.131869733279011
"87",0.160127471662028
"88",0.137983775456633
"89",0.123427003832358
"90",0.0696478819232148
"91",0.0873639123011338
"92",0.117583481098797
"93",0.147519707085984
"94",0.0776659653170878
"95",0.0739105310945281
"96",0.0691986798341913
"97",0.11861765753412
"98",0.133951648412924
"99",0.130466958999295
"100",0.134373695118999
"101",0.125955276023671
"102",0.146125836958184
"103",0.142435956710549
"104",0.118250449914459
"105",0.126169162196374
"106",0.154276655121482
"107",0.111168782531575
"108",0.146810315081246
