"","X0.228615960540329"
"1",0.228615960540329
"2",0.264289902281583
"3",0.236192980140079
"4",0.248576085870676
"5",0.22101713453169
"6",0.231706344667223
"7",0.242889486094348
"8",0.205575480465902
"9",0.21763014262667
"10",0.222971823962092
"11",0.252126265326921
"12",0.260154129504582
"13",0.213089054394414
"14",0.209797356212244
"15",0.194132899398725
"16",0.238644493969085
"17",0.2491055421034
"18",0.246938118515356
"19",0.225835332976148
"20",0.195335392259635
"21",0.185763793651271
"22",0.187203767942382
"23",0.182563517120801
"24",0.173173119821809
"25",0.186201115549417
"26",0.193572891608807
"27",0.174980583874267
"28",0.171977741199674
"29",0.168997590525499
"30",0.193973838774248
"31",0.190434887669152
"32",0.211549304780465
"33",0.171531733124196
"34",0.171660118419643
"35",0.174805189905878
"36",0.184458625564214
"37",0.244701341820813
"38",0.234707236165641
"39",0.232078000629214
"40",0.226663496022067
"41",0.205378795788903
"42",0.229970618326248
"43",0.236662296308353
"44",0.213741508044918
"45",0.238967713947535
"46",0.22281266237258
"47",0.207867937740525
"48",0.215684624269889
"49",0.238445578810531
"50",0.206858815894811
"51",0.211079631222978
"52",0.216076201556159
"53",0.225522525778684
"54",0.222086891421443
"55",0.233910091982254
"56",0.212371367429359
"57",0.175346872409445
"58",0.149822324380332
"59",0.149326892312228
"60",0.159058473437269
"61",0.159470255621881
"62",0.178114789090895
"63",0.155831235511671
"64",0.142504406758503
"65",0.151480596901988
"66",0.179543818372369
"67",0.154910004805988
"68",0.180987417021791
"69",0.21337832359461
"70",0.197963966874591
"71",0.241118792042364
"72",0.218641879477084
"73",0.211998478309968
"74",0.17995554473779
"75",0.22513395885809
"76",0.214289394731378
"77",0.203779160774195
"78",0.214614302235934
"79",0.209269727125191
"80",0.193861740394469
"81",0.221081767399929
"82",0.208130422657968
"83",0.211773199207372
"84",0.195012276913376
"85",0.214154992635926
"86",0.194035961138651
"87",0.222255968076901
"88",0.200424362849799
"89",0.191502555812409
"90",0.1455821380048
"91",0.157589167035671
"92",0.183193298715073
"93",0.21068464905822
"94",0.150224459214284
"95",0.149036798458777
"96",0.14014298242349
"97",0.191817131544003
"98",0.203751009656243
"99",0.199946280178623
"100",0.205956623814873
"101",0.191163759310503
"102",0.212073126857314
"103",0.208823280588489
"104",0.185026827194421
"105",0.191147921962304
"106",0.220336386620611
"107",0.177234440038429
"108",0.211920781390691
