"","X0.230201457615417"
"1",0.230201457615417
"2",0.264055165944995
"3",0.236512358398829
"4",0.249438202201732
"5",0.222643949901833
"6",0.232748900943398
"7",0.247254572527738
"8",0.208715897557176
"9",0.223341607876882
"10",0.222567372125423
"11",0.250012223514052
"12",0.259803150381991
"13",0.211718409639005
"14",0.210164637646372
"15",0.194560915941195
"16",0.237536103165711
"17",0.247134121477138
"18",0.244307721554537
"19",0.225758908140466
"20",0.193517420670884
"21",0.190491031104355
"22",0.185675989381919
"23",0.182135290544248
"24",0.171401238222566
"25",0.186710831291692
"26",0.192954550744732
"27",0.175450744111981
"28",0.172003444191908
"29",0.168828500063498
"30",0.192786792524259
"31",0.189269522555229
"32",0.212217808957432
"33",0.170715693861701
"34",0.171427540366611
"35",0.174137878399974
"36",0.183202996325377
"37",0.246842938062359
"38",0.235353590129806
"39",0.231427061410962
"40",0.22778911324345
"41",0.205204390533555
"42",0.229218580834236
"43",0.236154125013573
"44",0.215382108609198
"45",0.240409010049872
"46",0.222680612218225
"47",0.209533362550111
"48",0.216527532631875
"49",0.239805796780787
"50",0.207960578079318
"51",0.211998180410656
"52",0.215917865388874
"53",0.226438087134217
"54",0.224224514268
"55",0.233110101317918
"56",0.212397004411747
"57",0.174493986693618
"58",0.151127140036147
"59",0.149683528029545
"60",0.160725331462267
"61",0.16085401165419
"62",0.179098604567534
"63",0.155678793409836
"64",0.143371801138731
"65",0.155583244362192
"66",0.182442705879595
"67",0.157699840266536
"68",0.181008370935742
"69",0.214165609763045
"70",0.197062729969722
"71",0.241005627900153
"72",0.218537968442084
"73",0.210557921797045
"74",0.178279520179816
"75",0.224024925041451
"76",0.214525555266036
"77",0.20002047268998
"78",0.211803240676526
"79",0.206671006214508
"80",0.191570059497369
"81",0.221485871098662
"82",0.205946321702231
"83",0.20897755140691
"84",0.191967564010535
"85",0.212549648631667
"86",0.192900140443348
"87",0.220165974083522
"88",0.199598138422911
"89",0.192541227645239
"90",0.147889002667346
"91",0.159998770521116
"92",0.183616145621816
"93",0.211042367074938
"94",0.150363747785978
"95",0.149139590050731
"96",0.139995041970279
"97",0.190971560906989
"98",0.20317730893035
"99",0.19921233937433
"100",0.204786511121966
"101",0.192229545407167
"102",0.211285457320691
"103",0.208796268717979
"104",0.184313574768692
"105",0.191584124815267
"106",0.219225809120573
"107",0.17655742844694
"108",0.211522457700425
