Family,sciname,n,d13C,d18O,K_caud,Troph,Max_depth,Paper,Myct
Salmonidae,Oncorhynchus nerka,34,-4.5,0.8,2.6,3.4,250,Sherwood_Rose_2003,Other
Osmeridae,Osmerus mordax,1,-2.5,-1.5,2.1,3.2,150,Sherwood_Rose_2003,Other
Acanthuridae,Pagellus erythrinus,3,-3.5,1.3,2,3.2,300,Sherwood_Rose_2003,Other
Acanthuridae,Pagrus auratus,64,-2,1.7,3.2,3.4,200,Sherwood_Rose_2003,Other
Stromateidae,Pampus argenteus,1,-4,0.2,2.9,3.3,110,Sherwood_Rose_2003,Other
Stromateidae,Peprilus triacanthus,1,-4.6,-1.1,3.1,3.9,15,Sherwood_Rose_2003,Other
Phycidae,Phycis blennoides,15,-1.8,2.3,0.8,3.7,800,My_Data,Other
Pomatomidae,Pomatomus saltatrix,226,-4.2,0.7,2.2,4.3,200,Sherwood_Rose_2003,Other
Triglidae,Prionotus evolans,1,-0.2,-0.2,1,4.1,180,Sherwood_Rose_2003,Other
Lutjanidae,Pristipomoides filamentosus,1,-4.2,-0.9,2.1,3.6,400,Sherwood_Rose_2003,Other
Myctophidae,Protomyctophum bolini,20,-3,3.6,0.9,3,1000,My_data,Myctophidae
Centrolophidae,Psenopsis obscura,1,-0.9,1.1,1.5,NA,800,Sherwood_Rose_2003,Other
Moridae,Pseudophycis barbata,4,-1.4,1.1,0.7,3.5,300,Sherwood_Rose_2003,Other
Alepocephalidae,Rouleina attrita,3,-0.9,3.1,1.4,3.5,2100,My_Data,Other
Clupeidae,Sardina pilchardus,19,-6.1,0.6,3,3.4,100,Sherwood_Rose_2003,Other
Clupeidae,Sardinops sagax,588,-6.9,0.8,3.9,2.5,200,Sherwood_Rose_2003,Other
Sparidae,Sarpa salpa,8,-6.9,0.3,4.2,2,70,Sherwood_Rose_2003,Other
Centrolophidae,Schedophilus pemarco,1,-3.6,-0.1,0.7,NA,500,Sherwood_Rose_2003,Other
Sciaenidae,Sciaena umbra,9,-1.5,0.6,0.9,4.1,100,Sherwood_Rose_2003,Other
Sebastidae,Sebastes mentella,10,-2.5,2.6,1.8,4.1,1000,My_Data,Other
Centrolophidae,Seriolella violacea,8,-0.6,1,2.5,NA,NA,Sherwood_Rose_2003,Other
Serranidae,Serranus scriba,1,-4.7,-0.2,1.3,3.9,150,Sherwood_Rose_2003,Other
Acanthuridae,Sparus aurata,3,-4,0.5,2,3.6,150,Sherwood_Rose_2003,Other
Ophidiidae,Spectrunculus grandis,7,0.1,3.4,NA,3.6,4255,My_Data,Other
Centracanthidae,Spicara maena,16,-4.1,1.7,3.5,3.7,130,Sherwood_Rose_2003,Other
Acanthuridae,Spondyliosoma cantharus,3,-3.3,1.3,3,3.1,300,Sherwood_Rose_2003,Other
Macrouridae,Squalogadus modificatus,10,-0.8,3.0,NA,3.5,2100,My_Data,Other
Stromateidae,Stromateus stellatus,1,-0.8,-0.9,2.7,NA,NA,Sherwood_Rose_2003,Other
Scombridae,Thunnus maccoyii,2,-7.9,-1.6,5.4,3.9,50,Sherwood_Rose_2003,Other
Scombridae,Thunnus thynnus,3,-8.6,-1.5,6,4.4,100,Sherwood_Rose_2003,Other
Gempylidae,Thyrsites atun,4,-5.3,0.8,2.9,3.9,550,Sherwood_Rose_2003,Other
Carangidae,Trachurus declivis,2,-5.4,1.1,2.8,3.6,460,Sherwood_Rose_2003,Other
Carangidae,Trachurus trachurus,5,-1.3,0.6,3.2,3.6,600,Sherwood_Rose_2003,Other
Macrouridae,Trachyrincus murrayi,4,-0.3,3.1,NA,3.5,1630,My_Data,Other
Macrouridae,Trachyrincus scabrus,10,1.1,2.8,NA,3.6,1700,My_Data,Other
Gadidae,Trisopterus minutus,2,-2.4,2.4,1.5,3.8,400,Sherwood_Rose_2003,Other
Alepocephalidae,Xenodermichthys copei,4,-2.2,2.3,1.4,3.2,1230,My_Data,Other
