"var_names","mean","stan_dev"
"a",0.183,0.013
"b_W",0,0.005
"b_T",-0.005,0.003
"a_Var_ELN",0.214,0.014
"a_Var_ELC",0.172,0.014
"a_Var_GYR",0.201,0.014
"a_Var_GYN",0.149,0.016
"a_Var_KRA",0.192,0.015
"a_Var_PRM",0.17,0.015
"sigma_Species",0.033,0.016
"sigma",0.017,0.001
