"","post_M"
"1",0.163259347104513
"2",0.178465965302879
"3",0.17093088253813
"4",0.177420168570072
"5",0.15993151774174
"6",0.184143283428264
"7",0.178539241620897
"8",0.175504561275074
"9",0.170855360341603
"10",0.169141458882667
"11",0.179094160575298
"12",0.171164142362839
"13",0.195877585861447
"14",0.162492263086233
"15",0.168380000164777
"16",0.166757702191559
"17",0.176811901933343
"18",0.177723917952891
"19",0.158598619692952
"20",0.164888075619083
"21",0.145287916185085
"22",0.169143974090814
"23",0.167796057984164
"24",0.167038960646254
"25",0.184253047700716
"26",0.178530743425434
"27",0.160612494601661
"28",0.158335334613691
"29",0.182458922812539
"30",0.170676323791921
"31",0.17445976363761
"32",0.175258819829606
"33",0.187574606105872
"34",0.165280070762449
"35",0.204387493127865
"36",0.192469771034021
"37",0.166146301337869
"38",0.180470692969084
"39",0.173853857207584
"40",0.178350490166911
"41",0.163927149589409
"42",0.17085221322712
"43",0.171957440902913
"44",0.152443026115769
"45",0.183167161034024
"46",0.167647851344516
"47",0.177137400521915
"48",0.158761253669942
"49",0.181748398794538
"50",0.182019005374338
"51",0.172480910540552
"52",0.170543095336804
"53",0.177316765090796
"54",0.181053322922098
"55",0.170191142045415
"56",0.168379290224709
"57",0.176191176286504
"58",0.176215918319179
"59",0.173645572259741
"60",0.184599386770593
"61",0.1613974813798
"62",0.16003094230081
"63",0.188833082564211
"64",0.166378011086887
"65",0.174452290886563
"66",0.182866302449057
"67",0.172197613483857
"68",0.17979809407625
"69",0.160057873076049
"70",0.170837440157358
"71",0.172741879982692
"72",0.179067231065872
"73",0.184926295761832
"74",0.166666011280147
"75",0.16668349054582
"76",0.173219889445343
"77",0.16305169946086
"78",0.157091748013588
"79",0.186009504270562
"80",0.163870404427903
"81",0.18208196190304
"82",0.167290306141495
"83",0.174955046283492
"84",0.179464654189715
"85",0.179207272983722
"86",0.165545376360615
"87",0.169684615628491
"88",0.172854143951207
"89",0.158469248278294
"90",0.169975845421891
"91",0.163215223009617
"92",0.17709219452425
"93",0.177314439881018
"94",0.182922922047704
"95",0.156132830470671
"96",0.161915924700362
"97",0.176605318550842
"98",0.191461511849815
"99",0.162858107102508
"100",0.171246908652937
"101",0.167853135820115
"102",0.17394420425313
"103",0.172940446299215
"104",0.178792737198137
"105",0.163625528849771
"106",0.184037829849016
"107",0.15497065918871
"108",0.184389179187225
"109",0.15907920224013
"110",0.184458335501459
"111",0.1554875952847
"112",0.162072017214729
"113",0.168717927137796
"114",0.17738427904122
"115",0.165094101727704
"116",0.158289287583883
"117",0.164543567955362
"118",0.186393348318823
"119",0.166957444176064
"120",0.178830427120333
"121",0.166725934732434
"122",0.182966635627134
"123",0.158363530893647
"124",0.192404122565006
"125",0.146342565264747
"126",0.168345236782248
"127",0.147859106972626
"128",0.182749988856796
"129",0.195182340731148
"130",0.18979232637771
"131",0.156128694595689
"132",0.172964668698289
"133",0.183411775236044
"134",0.174520463726565
"135",0.172237642652536
"136",0.191071660371876
"137",0.170772958713278
"138",0.17381686089703
"139",0.169955108377457
"140",0.168100683606515
"141",0.156047019843881
"142",0.17477615128762
"143",0.161913621599922
"144",0.162716759330257
"145",0.167447962139141
"146",0.189170811265804
"147",0.184187050835326
"148",0.168722918564884
"149",0.16185778122844
"150",0.165915813992338
"151",0.170609487097238
"152",0.168990665592853
"153",0.173468887534501
"154",0.175324820778737
"155",0.156359963520784
"156",0.167386421114599
"157",0.177669477847444
"158",0.164448449862052
"159",0.176813462168594
"160",0.172051438056183
"161",0.179159468826201
"162",0.18250073648144
"163",0.176877279384064
"164",0.17827445511341
"165",0.168523709860894
"166",0.162571615632175
"167",0.172416498014706
"168",0.180160507512437
"169",0.172816860761237
"170",0.179839706542364
"171",0.168406579238649
"172",0.173282849122314
"173",0.173633787247966
"174",0.160826429892204
"175",0.173818093803282
"176",0.175988783080508
"177",0.186396645873719
"178",0.197765282133574
"179",0.180762979694165
"180",0.162402033656384
"181",0.167236759544709
"182",0.16952747892439
"183",0.173920368169885
"184",0.17885624764869
"185",0.174917500820971
"186",0.168520033262864
"187",0.177742288664164
"188",0.183367801988732
"189",0.164135769766511
"190",0.164736747657834
"191",0.16029918218543
"192",0.173565116508282
"193",0.172901578974301
"194",0.172561445815029
"195",0.174648614442713
"196",0.1566215158292
"197",0.174037253587813
"198",0.161322213356837
"199",0.175086621103018
"200",0.157088584405452
"201",0.15895859669629
"202",0.186582561699897
"203",0.166833268280404
"204",0.163369627503821
"205",0.157327183846514
"206",0.167689806875219
"207",0.169298589954754
"208",0.183379438788806
"209",0.162896675274334
"210",0.174282213084218
"211",0.180360554476735
"212",0.171180142273765
"213",0.177466699602788
"214",0.17176194795642
"215",0.187471847736876
"216",0.183907388550077
"217",0.147730177059687
"218",0.178834072357887
"219",0.160127470751185
"220",0.175858018694711
"221",0.165197179277915
"222",0.161406476052852
"223",0.196099402888201
"224",0.180227418707931
"225",0.162590993005092
"226",0.17261347603038
"227",0.166073577800819
"228",0.162169243861379
"229",0.185513249618967
"230",0.176302546069743
"231",0.186350707747732
"232",0.167079952861463
"233",0.15734157791292
"234",0.154355315844293
"235",0.161812670005093
"236",0.151621553952964
"237",0.181622150509204
