"","post_M"
"1",0.137190685824533
"2",0.148299421366892
"3",0.16128532839384
"4",0.166821913936566
"5",0.173779471456877
"6",0.148101684732969
"7",0.161436907641828
"8",0.139090087804008
"9",0.147167285241074
"10",0.160763871037405
"11",0.148069027416029
"12",0.168102817266669
"13",0.171997926185303
"14",0.149604021638402
"15",0.13469872203223
"16",0.156093862055229
"17",0.167548098310476
"18",0.148576611688462
"19",0.160955770900883
"20",0.159483894691724
"21",0.158182995111979
"22",0.158386081688418
"23",0.158081342153633
"24",0.160973422100492
"25",0.147943024818383
"26",0.15287561208781
"27",0.15876117470667
"28",0.152556452927951
"29",0.149068065763224
"30",0.14338947653822
"31",0.184149571991056
"32",0.147057038164288
"33",0.178577464076951
"34",0.167825782027911
"35",0.17263224464592
"36",0.157082474439058
"37",0.173180836825757
"38",0.153387548211318
"39",0.159961963988326
"40",0.162986002605478
"41",0.167134429556121
"42",0.15255712566358
"43",0.166856245600781
"44",0.138934873066808
"45",0.171027653408843
"46",0.153607534620009
"47",0.156272673838715
"48",0.15442579767954
"49",0.151433707489895
"50",0.14367164320395
"51",0.171013346150925
"52",0.16391571673044
"53",0.158348597453148
"54",0.162988208337816
"55",0.138137699952831
"56",0.152270915908077
"57",0.147236633745986
"58",0.164396929399453
"59",0.159473254765863
"60",0.170336337151214
"61",0.170459475286758
"62",0.159342926473481
"63",0.155730641298984
"64",0.159706490235779
"65",0.145087109117742
"66",0.144814568852889
"67",0.157966882260512
"68",0.166758170515386
"69",0.18963120434191
"70",0.149713382333096
"71",0.166073504036192
"72",0.163950411090717
"73",0.152217351154666
"74",0.158714036097047
"75",0.157760359629752
"76",0.141585038123796
"77",0.158942602472433
"78",0.162662551083129
"79",0.161086661594807
"80",0.133702415018453
"81",0.153183272560392
"82",0.170280431177245
"83",0.167619129722779
"84",0.147367550571693
"85",0.145571284702105
"86",0.147172139117166
"87",0.162065117759608
"88",0.163533661777799
"89",0.140215587992405
"90",0.151492134432488
"91",0.167870814617393
"92",0.16017220169802
"93",0.156538177362162
"94",0.162192828291312
"95",0.169978488995987
"96",0.171494974234069
"97",0.153388132545087
"98",0.162732283009348
"99",0.152400657785949
"100",0.142025991788299
"101",0.172668450846437
"102",0.155012410883159
"103",0.156030183436911
"104",0.173350501942982
"105",0.159630261536349
"106",0.157326156174076
"107",0.160182991866829
"108",0.159491033807481
"109",0.17123222244345
"110",0.161897989257656
"111",0.139912976694469
"112",0.146785040127138
"113",0.15888475252588
"114",0.138022897623573
"115",0.168116490362973
"116",0.166337437313903
"117",0.164287223854952
"118",0.167657669006566
"119",0.159523902051529
"120",0.150674401880687
"121",0.170673101779853
"122",0.153661678972807
"123",0.152382793514635
"124",0.169677948709142
"125",0.142943542823839
"126",0.139513840554276
"127",0.149440410171077
"128",0.158175966418127
"129",0.150171797803162
"130",0.14246100060039
"131",0.162431155919103
"132",0.153468081098439
"133",0.16556465821293
"134",0.161822314479167
"135",0.161478755653035
"136",0.161572329641264
"137",0.155763790444546
"138",0.173822331191645
"139",0.158823877330872
"140",0.170566482826724
"141",0.145491506734331
"142",0.146072121041781
"143",0.155380193601804
"144",0.15896062183949
"145",0.146849364572483
"146",0.143342875055065
"147",0.16005074172527
"148",0.171761245738125
"149",0.15182598651994
"150",0.151532529208626
"151",0.151214254276518
"152",0.148357784175256
"153",0.155987680105635
"154",0.177535556593055
"155",0.174696582438236
"156",0.145554571767633
"157",0.172386871024516
"158",0.158581007665695
"159",0.146404288078452
"160",0.158000833214192
"161",0.162551964664146
"162",0.152660160530663
"163",0.15583957372164
"164",0.147356791990665
"165",0.164812629319535
"166",0.146228706191536
"167",0.161536496874303
"168",0.158410368985356
"169",0.14389210421338
"170",0.171218791538715
"171",0.180422112362644
"172",0.150287500929143
"173",0.168976829777328
"174",0.160088556377724
"175",0.181302079170117
"176",0.173748980359477
"177",0.163223789341227
"178",0.151541506555492
"179",0.154157839048893
"180",0.171561840579634
"181",0.16563610231676
"182",0.158230820342423
"183",0.167826464840279
"184",0.171378763691649
"185",0.172177806805966
"186",0.134966661388651
"187",0.157301257912624
"188",0.150728469976888
"189",0.153983305858648
"190",0.17205383422686
"191",0.150438115933594
"192",0.150565205632817
"193",0.160218234570658
"194",0.157269793139079
"195",0.149709358732795
"196",0.168588079453775
"197",0.143668108357711
"198",0.181789608448444
"199",0.155838241030652
"200",0.161489873441305
"201",0.152686648392823
"202",0.149762183676883
"203",0.162200202727014
"204",0.153407816291469
"205",0.142649598298735
"206",0.152112983610431
"207",0.158982959695586
"208",0.165349808978454
"209",0.161577135614234
"210",0.163756767026028
"211",0.154267818734708
"212",0.164291049137233
"213",0.155597134506167
"214",0.146587657630255
"215",0.157362128444082
"216",0.165774464808654
"217",0.141870021622966
"218",0.158565012994878
"219",0.172214360080136
"220",0.148495621389633
"221",0.156763287144036
"222",0.16579249862953
"223",0.138643889468456
"224",0.157563352018663
"225",0.159966331543635
"226",0.141763526525116
"227",0.152141994340808
"228",0.152713800202247
"229",0.156443879044156
"230",0.15316644854045
"231",0.162364982281079
"232",0.152560647418821
"233",0.171524846036386
"234",0.145435163517634
"235",0.17460118098855
"236",0.160098875390234
"237",0.169845256710788
"238",0.1587886474092
"239",0.155195520471736
"240",0.160354910363786
"241",0.158790895370129
"242",0.154491566125654
"243",0.153814324680999
"244",0.158923055724881
"245",0.160411871926187
"246",0.157187589279294
"247",0.14859365387819
"248",0.167970463908267
"249",0.172303023060187
"250",0.140182802107554
"251",0.159251441377235
"252",0.168016689914077
"253",0.163509126491437
"254",0.151074998801631
"255",0.164218548034764
"256",0.150167597176778
"257",0.143234201018819
"258",0.166536742259199
"259",0.154539882357611
"260",0.155719075924395
"261",0.171797605017031
"262",0.147480420354291
"263",0.169635759098058
"264",0.183401211448501
"265",0.144076570283938
"266",0.154019458010573
"267",0.140516632825317
"268",0.151544076265883
"269",0.152513142094702
"270",0.15155734491824
"271",0.163697004637932
"272",0.158405468799979
"273",0.160660569017358
"274",0.162923866076465
"275",0.166175317622516
"276",0.169308522068923
"277",0.180550745372375
"278",0.152022300560951
"279",0.160281973603702
"280",0.17004671640271
"281",0.157683480415879
"282",0.145532836732915
"283",0.146961200002418
"284",0.167238688170213
"285",0.158835380309482
"286",0.142630815305908
"287",0.169203119099784
"288",0.15924084638961
"289",0.157613855478331
"290",0.150901047397687
"291",0.146270190370292
"292",0.157517650341382
"293",0.160125111548075
"294",0.16518160994061
"295",0.162115312334094
"296",0.155648403574333
"297",0.134782444180271
"298",0.172178661413254
"299",0.159354401828153
"300",0.152517786035367
"301",0.132806504279437
"302",0.165621347710923
"303",0.152021930628643
"304",0.169591793160107
"305",0.169652705548484
"306",0.150099619980773
"307",0.148910780137026
"308",0.154420773444707
"309",0.158354516345442
"310",0.14842773405629
"311",0.165068262390325
"312",0.157117862697883
"313",0.152259672924189
"314",0.143504527383863
"315",0.153065751503682
"316",0.1532755345625
"317",0.147281643170709
"318",0.182140107578702
"319",0.162110905328566
"320",0.172727869631308
"321",0.178594015604149
"322",0.16455124063178
"323",0.148589849370964
"324",0.152745937221346
"325",0.154346484535112
"326",0.181051809531962
"327",0.162524593586508
"328",0.160846109383839
"329",0.150885181217987
"330",0.167805906984923
"331",0.16040538020506
"332",0.13927296136495
"333",0.170944345989148
"334",0.148066968372052
"335",0.167931391407888
"336",0.163542690490468
"337",0.134231199561113
"338",0.16245711314901
"339",0.181886342138637
"340",0.145830102023446
"341",0.161218646564001
"342",0.171729379432811
"343",0.149510848191271
"344",0.158854929689114
"345",0.156786147883077
"346",0.155518014776386
"347",0.162483003403344
"348",0.146820445547618
"349",0.158252419699456
"350",0.151497601890544
"351",0.142728012224784
"352",0.1581130567274
"353",0.161794202186698
"354",0.160292746487215
"355",0.168865643854156
"356",0.163285950222658
"357",0.147123643007092
"358",0.156788261366528
"359",0.149103831412072
"360",0.159537917463156
"361",0.151670307057242
"362",0.150151927203524
"363",0.136683551124613
"364",0.171432808211896
"365",0.146740131790144
"366",0.123126574268588
"367",0.156246222787387
"368",0.140767465518656
"369",0.159427311942301
"370",0.146139548646525
"371",0.144981555487255
"372",0.143576542419792
"373",0.154836579670167
"374",0.171070139895405
"375",0.146649880422432
"376",0.14775870361328
"377",0.159263733112015
"378",0.169731998723112
"379",0.167410966152884
"380",0.166990840665521
"381",0.162193658104895
"382",0.146612086788154
"383",0.169850290745403
"384",0.129816398751909
"385",0.165867083830365
"386",0.16202768121448
"387",0.145860837820851
"388",0.152479518638142
"389",0.158419480674813
"390",0.160523522712211
"391",0.162155042111379
"392",0.15269849392907
"393",0.158533440618787
"394",0.153942311084732
"395",0.147270642260865
"396",0.162135357703213
"397",0.163190126358739
"398",0.169591966941349
"399",0.157471316863109
"400",0.17875068593532
"401",0.157781692586933
"402",0.140161773464922
"403",0.154209765634336
"404",0.156668719877543
"405",0.174116485612818
"406",0.163014934381583
"407",0.142097658044665
"408",0.153102895838695
"409",0.153736495888468
"410",0.14277307527597
"411",0.171577272594656
"412",0.171225681796093
"413",0.147606099906809
"414",0.156016262678299
"415",0.163918336427267
"416",0.158783426586996
"417",0.168074493246154
"418",0.168029706468807
"419",0.161420017600248
"420",0.161990621791107
"421",0.146986348746518
"422",0.15022141978124
"423",0.162880684246962
"424",0.161850171649555
"425",0.148044444255359
"426",0.154078878283112
"427",0.148823847726982
"428",0.150589139578885
"429",0.153412386570686
"430",0.167144728031255
"431",0.148855776294622
"432",0.164927890175497
"433",0.149134503023843
"434",0.138620369830751
"435",0.16170010964146
"436",0.148992230088887
"437",0.162941403808966
"438",0.15702726538695
"439",0.153946950972584
"440",0.165604509254427
"441",0.137174867663242
"442",0.142580916150476
"443",0.166614279124057
"444",0.163932537947265
"445",0.142299457704794
"446",0.147265663645149
"447",0.15138837886848
"448",0.162976764708353
"449",0.154677539641501
"450",0.143893483919574
"451",0.180254144744331
"452",0.157940718913389
"453",0.15386728356248
"454",0.175377596296966
"455",0.162110622161223
"456",0.15630860668016
"457",0.175802843562
"458",0.165203607748544
"459",0.151105508432731
"460",0.159156733798836
"461",0.170175337423095
"462",0.164686866885106
"463",0.146619099248845
"464",0.163665913634587
"465",0.13344661913708
"466",0.156423548906096
"467",0.149583773750857
"468",0.148406252046657
"469",0.159908347672434
"470",0.1454814217726
"471",0.148114758309604
"472",0.151985333652011
"473",0.162890126557522
"474",0.155325151614692
"475",0.161430710211038
"476",0.162088667761804
"477",0.159959320809698
"478",0.145713056319168
"479",0.161777300225269
"480",0.157834572210954
"481",0.174752084530745
"482",0.156087796809459
"483",0.16979292051546
"484",0.153198374925004
"485",0.149291045966095
"486",0.160723295195964
"487",0.14786092044031
"488",0.158408109764279
"489",0.180330243794106
"490",0.166219780398548
"491",0.156961490487045
"492",0.151160962502626
"493",0.161426792263229
"494",0.154946601855425
"495",0.154728002357407
"496",0.15791095367149
"497",0.155921894253709
"498",0.16908431252257
"499",0.148068022548084
"500",0.160688987686027
"501",0.168910384729644
"502",0.171422115653488
"503",0.149903051864667
"504",0.160061514264634
"505",0.160944203358427
"506",0.168265858667564
"507",0.152679883441626
"508",0.15559850508107
"509",0.176216926486134
"510",0.157164421128847
"511",0.167872198849977
"512",0.15210585046186
"513",0.170712005022246
"514",0.148201014009798
"515",0.149294536951631
"516",0.158252326468208
"517",0.156619263536025
"518",0.158146366832264
"519",0.150897803052413
"520",0.153041826172996
"521",0.146382510454922
"522",0.162219598447128
"523",0.158288783340131
"524",0.179531397031441
"525",0.175336276753246
"526",0.149532672506903
"527",0.163636991332193
"528",0.143800694339278
"529",0.142131388369411
"530",0.153375862183892
"531",0.173040998238179
"532",0.142088136490723
"533",0.149995380928592
"534",0.173108720268421
"535",0.154281166168627
"536",0.140121096217246
"537",0.153762673345902
"538",0.146740879065409
"539",0.152875295386782
"540",0.179520798133477
"541",0.157197025506494
"542",0.15397137200854
"543",0.163951509472438
"544",0.154023449599099
"545",0.17003837288579
"546",0.173921964478224
"547",0.147854548736264
"548",0.156575382272028
"549",0.150415829688311
"550",0.170595946509074
"551",0.152041169905619
"552",0.155797195684563
"553",0.152584894336632
"554",0.159757898792585
"555",0.163002328800478
"556",0.169212677947403
"557",0.163025699019108
"558",0.156128015185033
"559",0.144399820718397
"560",0.137670269039393
"561",0.14927699904231
"562",0.157784715723538
"563",0.166836103348821
"564",0.160757230976378
"565",0.157359269313532
"566",0.144232611591479
"567",0.159984968129464
"568",0.153457975192941
"569",0.158092455437874
"570",0.156794444182738
"571",0.158627530537695
"572",0.158184623667733
"573",0.167457595074098
"574",0.166985327590373
"575",0.142036052270924
"576",0.158824091260895
"577",0.145276594434777
"578",0.160581326061869
"579",0.154436409705726
"580",0.15507891685091
"581",0.169641517777881
"582",0.163736511535958
"583",0.156280627524333
"584",0.169750294630619
"585",0.150761746405295
"586",0.165385408960443
"587",0.141879992250844
"588",0.151823220116828
"589",0.1670981111264
"590",0.144832885782211
"591",0.152272581979032
"592",0.156897213878821
"593",0.157856618888001
"594",0.160079580130961
"595",0.14928241423762
"596",0.16251076875794
"597",0.166175174360757
"598",0.1612641698574
"599",0.161672422785374
"600",0.157228726352924
"601",0.158431698413631
"602",0.143755441306318
"603",0.170463844173792
"604",0.161537070745672
"605",0.161933322346246
"606",0.155066629345959
"607",0.156689368197102
"608",0.156946826021736
"609",0.165351978520115
"610",0.141103649335549
"611",0.170573020192084
"612",0.160872725448574
"613",0.141970610201214
"614",0.166789239754356
"615",0.14637534124112
"616",0.153707913013183
"617",0.151960898610025
"618",0.152642145867822
"619",0.168529113988233
"620",0.135157692297102
"621",0.138789188635912
"622",0.162195049291552
"623",0.164054873420296
"624",0.157504552311257
"625",0.167448019467443
"626",0.157448191206699
"627",0.149441934321872
"628",0.164183236033638
"629",0.141833814844879
"630",0.167948149282205
"631",0.149257536584754
"632",0.14816441833957
"633",0.146919953057198
"634",0.175306148941321
"635",0.145018318653882
"636",0.147063341118597
"637",0.150821084029084
"638",0.156355803655842
"639",0.165880701350137
"640",0.162627492562011
"641",0.164426079778732
"642",0.163871678756531
"643",0.156252559172809
"644",0.151212384001605
"645",0.153139519501161
"646",0.169701225714928
"647",0.159116783227476
"648",0.158664512608456
"649",0.163413582030961
"650",0.147574497594174
"651",0.159529010659185
"652",0.156987952274688
"653",0.169641133976757
"654",0.169327475787032
"655",0.139133016928342
"656",0.164127497487178
"657",0.159759868392982
"658",0.159376315690245
"659",0.145816518316797
"660",0.164422106037612
"661",0.167094717893446
"662",0.172223136414423
"663",0.166198380341703
"664",0.149395639801016
"665",0.155513589205201
"666",0.160952761611872
"667",0.154016771438274
"668",0.148763690455282
"669",0.148819779156043
"670",0.171145079109873
"671",0.146547454386888
"672",0.137481271816004
"673",0.160817447968934
"674",0.152601532864229
"675",0.165935441161784
"676",0.151817153891754
"677",0.152033550411241
"678",0.155043982670205
"679",0.166271531674877
"680",0.164296835416986
"681",0.161630768294235
"682",0.164892246702182
"683",0.158382021284257
"684",0.15157219367221
"685",0.142424415892754
"686",0.164691320160796
"687",0.131387851743893
"688",0.148678147199786
"689",0.169206511029983
"690",0.151631966354001
"691",0.136538556319071
"692",0.155290968577753
"693",0.164172092972331
"694",0.143330751781967
"695",0.136367304533385
"696",0.158487868402721
"697",0.158417466807172
"698",0.150391040509517
"699",0.148261054525329
"700",0.140184433614187
"701",0.131668612846035
"702",0.161751277381173
"703",0.176348447927963
"704",0.153505082045392
"705",0.147511498314342
"706",0.179820367540284
"707",0.171487063885892
"708",0.157423894654079
"709",0.163606113945168
"710",0.126213934458512
"711",0.162861397353775
"712",0.161623061442813
"713",0.141346157438521
"714",0.166742517918415
"715",0.153987132889429
"716",0.138436441950623
"717",0.182551039107798
"718",0.15173025941361
"719",0.166698546940841
"720",0.160708383100539
"721",0.161164296961746
"722",0.150535148514996
"723",0.145945379917396
"724",0.170187442889678
"725",0.141477564790661
"726",0.143944128519205
"727",0.17072965005231
"728",0.164076420640902
"729",0.167717413330914
"730",0.155308900106718
"731",0.170832062719458
"732",0.15780928523358
"733",0.153445023863839
"734",0.167807872558713
"735",0.153577552096064
"736",0.136085277144557
"737",0.152635355164694
"738",0.161259826537454
"739",0.174775692704856
"740",0.140261910464638
"741",0.174745037885482
"742",0.167945701433661
"743",0.169836977347574
"744",0.174097364138079
"745",0.160305832792122
"746",0.162679336727197
"747",0.142502301860962
"748",0.167941286489837
"749",0.160269061538123
"750",0.158249469991727
"751",0.142526713137443
"752",0.158672981894688
"753",0.15062490184136
"754",0.146686561204121
"755",0.161090321174039
"756",0.170109267364728
"757",0.170754458957797
"758",0.151632428548987
"759",0.151320217558579
"760",0.156699065331356
"761",0.146571085041309
"762",0.181277432145463
"763",0.180517537858329
"764",0.170111703689114
"765",0.158029832906316
"766",0.14497060766603
"767",0.15325943532716
"768",0.135523395372416
"769",0.14989022413351
"770",0.167048033676954
"771",0.153180781362499
"772",0.169834727323907
"773",0.169437136596952
"774",0.155961348864077
"775",0.153871582631134
