"","post_M"
"1",0.213795258015098
"2",0.216731189703243
"3",0.222428822540549
"4",0.225701912996048
"5",0.230547008858809
"6",0.205836543787306
"7",0.212067657615434
"8",0.211037518270564
"9",0.211564557461042
"10",0.227119343160453
"11",0.20750480870579
"12",0.213262183560201
"13",0.207055194174086
"14",0.197019615120791
"15",0.204131056299924
"16",0.214310616458894
"17",0.217148881235182
"18",0.216271197937618
"19",0.222021807445065
"20",0.228334494058832
"21",0.222285795568513
"22",0.236050150983519
"23",0.214673342262249
"24",0.222858747088105
"25",0.204720611615984
"26",0.200174802048658
"27",0.195157680753964
"28",0.195618867950324
"29",0.207092662816972
"30",0.223962578486179
"31",0.213789215634439
"32",0.211924700459918
"33",0.208490343785546
"34",0.214542872714861
"35",0.225115587910004
"36",0.204391124585231
"37",0.240968272741364
"38",0.228027733406691
"39",0.201254571356208
"40",0.207671152289474
"41",0.211586237247856
"42",0.201443763466475
"43",0.204234389225846
"44",0.228119079893457
"45",0.210525231521167
"46",0.226152896542854
"47",0.209821341045913
"48",0.211226906686838
"49",0.215599444286996
"50",0.222658363986781
"51",0.203120790804311
"52",0.229704431044281
"53",0.220085598223616
"54",0.220478829789755
"55",0.229077670701178
"56",0.214851240962119
"57",0.21065650009424
"58",0.212497121845297
"59",0.220172494350143
"60",0.238195930567186
"61",0.207871603915269
"62",0.186573774361968
"63",0.194229103703389
"64",0.211807477210922
"65",0.226045161055451
"66",0.206884508353656
"67",0.214847813904908
"68",0.219971544491343
"69",0.215569275531029
"70",0.228608129395286
"71",0.210481701465615
"72",0.218315045359158
"73",0.237579071300917
"74",0.220578287916281
"75",0.207435742096039
"76",0.213772128205236
"77",0.217318265503501
"78",0.208199437856721
"79",0.207321017832927
"80",0.220497513740297
"81",0.202146669491675
"82",0.203778728606497
"83",0.219247581282999
"84",0.201625222842576
"85",0.243670728102151
"86",0.221987512835188
"87",0.235706820993535
"88",0.217201174011489
"89",0.230970794792817
"90",0.209649738526873
"91",0.213051318553922
"92",0.225004170543666
"93",0.222975034703346
"94",0.204198932329657
"95",0.212939525075638
"96",0.221743598199713
"97",0.209689911611569
"98",0.202185415662553
"99",0.212917724445799
"100",0.21894168021929
"101",0.211976465482029
"102",0.183080305482032
"103",0.22336864194314
"104",0.229390367183034
"105",0.222057374966326
"106",0.235115218139234
"107",0.214429502205011
"108",0.215965302973648
"109",0.210916198189564
"110",0.217991640214805
"111",0.200507403579629
"112",0.21416339132374
"113",0.197916717075545
"114",0.232898480781683
"115",0.21640515644472
"116",0.220179701137246
"117",0.220397403420805
"118",0.23926309730021
"119",0.206910604624278
"120",0.225295080718356
"121",0.206794058023556
"122",0.218211391276597
"123",0.228366979682443
"124",0.227557343364876
"125",0.200774741284279
"126",0.219759235240119
"127",0.225626616038879
"128",0.213781785140535
"129",0.217437173223021
"130",0.234684699143488
"131",0.212163799434899
"132",0.215430681225826
"133",0.209371225131275
"134",0.225622920715795
"135",0.237506232012761
"136",0.204648314097723
"137",0.23004136934156
"138",0.223775642646703
"139",0.228121629629109
"140",0.197940641498132
"141",0.218858546122016
"142",0.212135686044798
"143",0.215435826971226
"144",0.24096314063785
"145",0.230754071933705
"146",0.221865768438373
"147",0.216394483572303
"148",0.21100812352688
"149",0.219888482709899
"150",0.215395011823162
"151",0.233702632634525
"152",0.20967629707053
"153",0.223049010356486
"154",0.190972438644777
"155",0.227178250056878
"156",0.207511385351241
"157",0.231878191962494
"158",0.195280935799828
"159",0.199925544375285
"160",0.214417235267391
"161",0.213695317041058
"162",0.217762042470096
"163",0.213941150370606
"164",0.212522428502388
"165",0.22542215705563
"166",0.225152725966668
"167",0.19803202210354
"168",0.222075222704078
"169",0.21451589457793
"170",0.214478656837331
"171",0.208212960472692
"172",0.224370928402685
"173",0.18945045361839
"174",0.226920269777405
"175",0.21642378432101
"176",0.211916908054875
"177",0.208227060754721
"178",0.183705837681295
"179",0.217154296754155
"180",0.19775828872162
"181",0.203127108936335
"182",0.193617288275523
"183",0.193727396460542
"184",0.217533219006597
"185",0.222159989435379
"186",0.207560284354037
"187",0.230559927424796
"188",0.20814231585139
"189",0.206898082081385
"190",0.206928124346669
"191",0.192585827938893
"192",0.21496364568648
"193",0.214740608302311
"194",0.207235974644584
"195",0.219715841481882
"196",0.209327367746626
"197",0.212131579716908
"198",0.211673783127221
"199",0.231632089849691
"200",0.231632846124716
"201",0.221137074537358
"202",0.203739146388193
"203",0.22549293606345
"204",0.197178621636461
"205",0.245353248367696
"206",0.211373868577568
"207",0.222852870124771
"208",0.228942422025191
"209",0.218653202890086
"210",0.192465445209276
"211",0.227804622553241
"212",0.206498985605373
"213",0.216838986708654
"214",0.19692736099938
"215",0.218091438872397
"216",0.203168172971776
"217",0.214400140312503
"218",0.208406754313333
"219",0.208557943861136
"220",0.245140958382736
"221",0.233318517746358
"222",0.217116173077882
"223",0.207831478898966
"224",0.224227246149942
"225",0.211332422286965
"226",0.217775702982901
"227",0.208108896976433
"228",0.210109585063691
"229",0.221115390896604
"230",0.213294885700409
"231",0.216734594258772
"232",0.198485200807052
"233",0.220421310748263
"234",0.212455188637633
"235",0.219596466886949
"236",0.203281752933564
"237",0.207104182374318
"238",0.208450750149593
"239",0.205359626679369
"240",0.209119251430529
"241",0.204896106340455
"242",0.206110650735165
"243",0.221540118479657
"244",0.195329498205088
"245",0.210489645747941
"246",0.215204777644827
"247",0.209462809119075
"248",0.222163366889659
"249",0.208358409280011
"250",0.205687203565215
"251",0.220127147729382
"252",0.202099548027693
"253",0.225909625589575
"254",0.208760433475896
"255",0.200140673632226
"256",0.213836696925021
"257",0.216528957871663
"258",0.209725317102411
"259",0.222679477507795
"260",0.217681436069681
"261",0.217905532495762
"262",0.213419558779853
"263",0.213051807424026
"264",0.22875861646816
"265",0.208062447752686
"266",0.216144408371508
"267",0.209455902596124
"268",0.210363912560866
"269",0.214751452975681
"270",0.211861535822911
"271",0.202597180579961
"272",0.21584414263374
"273",0.217999242133045
"274",0.226516703676406
"275",0.213597420064971
"276",0.213915709706924
"277",0.207202591868174
"278",0.211245337656619
"279",0.227928890187499
"280",0.178710801669667
"281",0.203129797067888
"282",0.216056150922115
"283",0.210686271063469
"284",0.228658014337313
"285",0.213140103215207
"286",0.202442400828438
"287",0.201183161838272
"288",0.224232439554943
"289",0.205981574417993
"290",0.222176826197885
"291",0.209098079041405
"292",0.231786351116217
"293",0.221917210191667
"294",0.199450587381114
"295",0.21518146345793
"296",0.216740332606088
"297",0.195683545685109
"298",0.207507834046403
"299",0.201535468762512
"300",0.202896045169836
"301",0.20570772713453
"302",0.213158842449411
"303",0.203026708875101
"304",0.205775233602985
"305",0.207270018743864
"306",0.221701327980423
"307",0.202902229232293
"308",0.209093415206168
"309",0.21779019611997
"310",0.198822719746223
"311",0.227628840288287
"312",0.208712851441953
"313",0.21577761320313
"314",0.213322292531893
"315",0.208487250679845
"316",0.20900167812349
"317",0.209137736232957
"318",0.221633210063121
"319",0.208489464963682
"320",0.221155052842318
"321",0.204702102410329
"322",0.206758621647552
"323",0.191038600184709
"324",0.208484338534117
"325",0.210963099787732
"326",0.2147778945778
"327",0.213330410355111
"328",0.217997614526365
"329",0.194011724638037
"330",0.199194717714884
"331",0.204397031604917
"332",0.22122596485629
"333",0.20476376965085
"334",0.206213750644781
"335",0.202470768312131
"336",0.211260894999352
"337",0.213475162548226
"338",0.20542351614089
"339",0.201899412801475
"340",0.208052702008621
"341",0.222004204634717
"342",0.238742575262022
"343",0.209427005370425
"344",0.212428387151075
"345",0.194265336002129
"346",0.219340718898836
"347",0.199411147096116
"348",0.198677671507773
"349",0.214934924149263
"350",0.19944409920091
"351",0.201809053001524
"352",0.209197039847099
"353",0.21844454808711
