"","post_M"
"1",0.173801432083815
"2",0.165953806964727
"3",0.185152713351049
"4",0.163257886060169
"5",0.185749775425946
"6",0.167974542257693
"7",0.160886094313573
"8",0.166117518700589
"9",0.180676477623814
"10",0.164316943308515
"11",0.183376012644274
"12",0.200718373529525
"13",0.187544495409476
"14",0.186546168053088
"15",0.165950601985033
"16",0.167158697099289
"17",0.175412249190859
"18",0.194940767946263
"19",0.164788713941604
"20",0.169856958178204
"21",0.193365643336364
"22",0.185513680452169
"23",0.184154487649801
"24",0.163831261238385
"25",0.168288668584726
"26",0.176260855761232
"27",0.180677010978308
"28",0.179167223038584
"29",0.188609339570334
"30",0.176027684662157
"31",0.162421959149146
"32",0.167772619145704
"33",0.1750060432763
"34",0.184673400358989
"35",0.168367156340496
"36",0.168127728203616
"37",0.184805705119077
"38",0.166824915028752
"39",0.168512811953787
"40",0.166541388110564
"41",0.164822992333525
"42",0.185744524669294
"43",0.187134504719863
"44",0.185026569697634
"45",0.179242844011989
"46",0.175698698973826
"47",0.172766811409835
"48",0.175468452431998
"49",0.175587055350656
"50",0.189762280278274
"51",0.15833654877907
"52",0.177559724811645
"53",0.160514028470074
"54",0.180107433107082
"55",0.171923715425575
"56",0.172294026512992
"57",0.171900195185922
"58",0.162360217880247
"59",0.16525840151758
"60",0.173230355864144
"61",0.179407295451918
"62",0.179850971954123
"63",0.18125906655164
"64",0.176371802262033
"65",0.177316939716073
"66",0.170846191076154
"67",0.179499094120761
"68",0.202383033479297
"69",0.191476430685723
"70",0.170401985903998
"71",0.181885347262261
"72",0.160154291036707
"73",0.183672864820812
"74",0.180566551865653
"75",0.175055044213657
"76",0.172755982752823
"77",0.17219504408741
"78",0.171149755687927
"79",0.181083802016204
"80",0.180563016990488
"81",0.162231476468514
"82",0.179141072305411
"83",0.182797646026048
"84",0.163722812292905
"85",0.190268779121765
"86",0.176413826726758
"87",0.175981767881195
"88",0.194236254116481
"89",0.179184008521021
"90",0.163503925065178
"91",0.193299141468006
"92",0.175682039059281
"93",0.172197322148836
"94",0.184729109668611
"95",0.19089432501643
"96",0.181105780895452
"97",0.173185491697209
"98",0.182267535638891
"99",0.167443607337629
"100",0.175161774085347
"101",0.175902236752674
"102",0.17305775657063
"103",0.179005684635013
"104",0.199533738027137
"105",0.160860888023953
"106",0.181951342615326
"107",0.166877725279042
"108",0.179262844336509
"109",0.170259883601805
"110",0.182232099832183
"111",0.172038090181368
"112",0.177933401065271
"113",0.167531801908888
"114",0.193019530344533
"115",0.182266906380836
"116",0.173002202121117
"117",0.164339308700601
"118",0.177958671155705
"119",0.159925374949243
"120",0.189621769432579
"121",0.169246424752904
"122",0.169955621025609
"123",0.177828656211049
"124",0.183868925598153
"125",0.199874464829351
"126",0.167942182009785
"127",0.1866881476553
"128",0.187389829670406
"129",0.187873194109143
"130",0.177994534737752
"131",0.181787654207955
"132",0.17457146785189
"133",0.186310789262968
"134",0.184628249117291
"135",0.179620721068642
"136",0.172332884305049
"137",0.175544346854409
"138",0.183235152674769
"139",0.181930911007771
"140",0.175426355380019
"141",0.169150766558374
"142",0.187114965310534
"143",0.172997868661994
"144",0.203713692710449
"145",0.1802888556583
"146",0.175724484617027
"147",0.178736845734958
"148",0.168590796254822
"149",0.162123223365652
"150",0.178235046940262
"151",0.18800452472412
"152",0.161296803477766
"153",0.17566249335225
"154",0.172012423743197
"155",0.177063335616243
"156",0.18388535652564
"157",0.178669119731783
"158",0.173600380123219
"159",0.176708014827943
"160",0.16136238080216
"161",0.181906859743003
"162",0.170022593395782
"163",0.176655519466295
"164",0.18019174300359
"165",0.165932699703086
"166",0.184570288404022
"167",0.161625605867501
"168",0.191253538038141
"169",0.177807593690717
"170",0.17703401298123
"171",0.182114116443365
"172",0.184706029770342
"173",0.178840451981192
"174",0.149463505018861
"175",0.176012826404576
"176",0.168027196250989
"177",0.1940478007646
"178",0.163660614416775
"179",0.187426382575255
"180",0.187300301108133
"181",0.192990489915525
"182",0.198481931983892
"183",0.178111085729356
"184",0.189772858634669
"185",0.156060380160769
"186",0.185390249842079
"187",0.183655638429146
"188",0.177564330054958
"189",0.172395907361198
"190",0.157302136372357
"191",0.181625042880461
"192",0.194570143732909
"193",0.1631445757432
"194",0.174091999112146
"195",0.177967732145448
"196",0.192004316886422
"197",0.190741831376049
"198",0.142851131610414
"199",0.167625608760976
"200",0.175576948985328
"201",0.1605387152489
"202",0.184386909833593
"203",0.175985513329781
"204",0.179026231616675
"205",0.185799017406968
"206",0.163707545222735
"207",0.200620236166513
"208",0.163719003454477
"209",0.149456379452039
"210",0.164467264499592
"211",0.198889901527844
"212",0.181101043862771
"213",0.191328474855939
"214",0.165366472533473
"215",0.188600254236923
"216",0.152818187302462
"217",0.18496598614757
"218",0.177602453216849
"219",0.188012596052863
"220",0.174205296061652
"221",0.160203314118027
"222",0.181783648108377
"223",0.168757418246773
"224",0.17840659817077
"225",0.16746221586071
"226",0.178003337702194
"227",0.18162617268321
"228",0.157004087985366
"229",0.181555922209902
"230",0.179348634273592
"231",0.185149617788009
"232",0.16960679827453
"233",0.171472642306698
"234",0.154586391710748
"235",0.174258158992104
"236",0.166829691527218
"237",0.16209105316429
"238",0.171372599772954
"239",0.18192624699613
"240",0.192071974725218
"241",0.169097225110903
"242",0.173997406361848
"243",0.17799305861771
"244",0.183674587418131
"245",0.174380165413553
"246",0.172517511418284
"247",0.1626756639323
"248",0.165632019732326
"249",0.171770934308697
"250",0.179601018561809
"251",0.192402445628722
"252",0.182804032284964
"253",0.176044224610395
"254",0.174989808366395
"255",0.201861786491253
"256",0.177896239610969
"257",0.151716944973466
"258",0.185626754652543
"259",0.173752752357425
"260",0.180532582661566
"261",0.179678655698629
"262",0.172788615436352
"263",0.177032197040442
"264",0.171219113880625
"265",0.195340963244519
"266",0.159016351887399
"267",0.163831727431914
"268",0.173403366951678
"269",0.164608339529894
"270",0.165982376315075
"271",0.183742922131982
