"","post_M"
"1",0.161445110479031
"2",0.154910675073888
"3",0.164245487811684
"4",0.147766183118023
"5",0.161763912263829
"6",0.164418171954447
"7",0.167255063595558
"8",0.168912508329705
"9",0.146302901363512
"10",0.17804285210067
"11",0.17576023809472
"12",0.168938737355654
"13",0.174618405099158
"14",0.167286935930552
"15",0.18298963126313
"16",0.148715183905569
"17",0.165235456022297
"18",0.158560968742917
"19",0.17273044592158
"20",0.153308103617849
"21",0.165139453146963
"22",0.166935980197134
"23",0.174355836694406
"24",0.164220126547759
"25",0.177302022763217
"26",0.160811988823329
"27",0.169320689314153
"28",0.155191254967877
"29",0.161707523005096
"30",0.167681314659369
"31",0.175319089598214
"32",0.177717761336456
"33",0.146144653055139
"34",0.164971939471747
"35",0.153750716343718
"36",0.171794722983636
"37",0.150304791167405
"38",0.17784564661322
"39",0.157460609157163
"40",0.179541992608247
"41",0.158609864884396
"42",0.174843498956553
"43",0.163787681761544
"44",0.183656623974209
"45",0.16543717836362
"46",0.15809697623107
"47",0.168977458592656
"48",0.154486597250497
"49",0.160097514792475
"50",0.173735187259844
"51",0.160288290721833
"52",0.16106011948637
"53",0.179711173709043
"54",0.153059399026631
"55",0.182576581097045
"56",0.1655955101513
"57",0.163047988842646
"58",0.153989325095195
"59",0.16279820174629
"60",0.166060581635864
"61",0.161942357502855
"62",0.175477934056398
"63",0.17305166581883
"64",0.151441809837994
"65",0.16175076614062
"66",0.173738473046751
"67",0.157115422330106
"68",0.155927248067625
"69",0.167426906975783
"70",0.164609983310974
"71",0.181262991183018
"72",0.16047265835844
"73",0.161514203760858
"74",0.144421034428542
"75",0.162697546420979
"76",0.150786853590927
"77",0.160519983201042
"78",0.19194949282566
"79",0.174665067050242
"80",0.153180860401421
"81",0.17927884445161
"82",0.162233297650763
"83",0.165895324404783
"84",0.170665550238284
"85",0.146302698377258
"86",0.15847631203164
"87",0.162270201190187
"88",0.179898731919564
"89",0.165235546091836
"90",0.175758920733395
"91",0.162683508380401
"92",0.155573183504649
"93",0.160448785264806
"94",0.154192834450013
"95",0.153753990120598
"96",0.16790446285755
"97",0.175420174069871
"98",0.164571067017588
"99",0.162361418666483
"100",0.167526233240429
"101",0.167751901253732
"102",0.159730009926738
"103",0.167380839304232
"104",0.154062681916031
"105",0.17894353024411
"106",0.165146029046856
"107",0.156562593938454
"108",0.157065800365986
"109",0.174103247477483
"110",0.17595509141268
"111",0.150883736330927
"112",0.173118434216451
"113",0.166777463048766
"114",0.174198358712116
"115",0.179793861477053
"116",0.181891052959182
"117",0.155560664622814
"118",0.169692444234322
"119",0.170442001388922
"120",0.164543049421955
"121",0.159950631484845
"122",0.17383689430202
"123",0.177347060715639
"124",0.166314689073937
"125",0.146912188713908
"126",0.161049135766077
"127",0.153050193192178
"128",0.148234640144685
"129",0.179792793778827
"130",0.150144373568289
"131",0.165467279943331
"132",0.160665001875977
"133",0.165504623289099
"134",0.176217485601935
"135",0.164954246392895
"136",0.173176093078563
"137",0.169028913601013
"138",0.181636274466103
"139",0.168015017638273
"140",0.159613805893062
"141",0.155958013668255
"142",0.171922931476589
"143",0.153031651772724
"144",0.18575952211538
"145",0.170496685971555
"146",0.16430964493823
"147",0.164998298858475
"148",0.167559982265612
"149",0.159219871090637
"150",0.148522335725324
"151",0.17038255234538
"152",0.173615876153177
"153",0.156431586408933
"154",0.18091563871574
"155",0.165346590738288
"156",0.170218462785266
"157",0.158792932670953
"158",0.163025238093596
"159",0.172318183404877
"160",0.165911661801994
"161",0.164360121633478
"162",0.154350873651141
"163",0.165865056384673
"164",0.182959257615043
"165",0.176849450354545
"166",0.171843105822351
"167",0.168613572068897
"168",0.168472064231982
"169",0.163057831394803
"170",0.152127034050546
"171",0.159596496409025
"172",0.162404821007487
"173",0.169734774588932
"174",0.171719010769751
"175",0.146853249397068
"176",0.166698405359197
"177",0.172595200951157
"178",0.165912363118933
"179",0.151038291978245
"180",0.171382218599717
"181",0.15885990769956
"182",0.150407387963093
"183",0.162073271363488
"184",0.164089256138936
"185",0.152507988226387
"186",0.161433682150284
"187",0.170613078836391
"188",0.163917270107943
"189",0.149497263095913
"190",0.161161054254265
"191",0.165404716031721
"192",0.161507244786184
"193",0.173386544591958
"194",0.158707858109407
"195",0.192648321107803
"196",0.171341746033159
"197",0.172477586111831
"198",0.161427327547125
"199",0.182547807399246
"200",0.165472137994215
"201",0.169790235965596
"202",0.15305225162258
"203",0.147194788799575
"204",0.186026503941956
"205",0.174857662328511
"206",0.157854722509173
"207",0.159284787742424
"208",0.178154777441539
"209",0.166373302424972
"210",0.190528868775268
"211",0.164367282685305
"212",0.166016487899675
"213",0.169472996949426
"214",0.171506422707463
"215",0.1638543812552
"216",0.172399256298425
"217",0.176960812257252
"218",0.161965405132353
"219",0.153777808037771
"220",0.154472975743023
"221",0.164395469580893
"222",0.162278119794011
"223",0.174770523797194
"224",0.177848035903198
"225",0.154022673425573
"226",0.171447241066815
"227",0.169807425771459
"228",0.165179319396505
