"var_names","mean","stan_dev"
"a",0.18,0.025
"b_R",0.002,0.003
"b_T",-0.003,0.004
"a_Var_ELN",0.035,0.026
"a_Var_ELC",-0.01,0.026
"a_Var_GYR",0.025,0.026
"a_Var_GYN",-0.035,0.026
"a_Var_PRM",-0.014,0.026
"sigma_Species",0.046,0.033
"sigma",0.018,0.002
